video_id,title,source_url,duration_seconds,upload_date,description,error
baLWXRHfYmM,CHICKEN TIKKA KEBAB | CHICKEN TIKKA RECIPE | Tandoori chicken tikka without oven - Perfect Recipe,https://www.youtube.com/watch?v=baLWXRHfYmM,479,20210618,,
s8wSnaAHspo,Unique Egg Maggi Biryani Recipe - Spicy Egg Maggi Masala | Desi Style Masala Maggi,https://www.youtube.com/watch?v=s8wSnaAHspo,392,20210610,"PRODUCTS THAT I USE:
Measuring cups used:https://tinyurl.com/yybctuhx​
Kadhai Used : https://tinyurl.com/y2q9zw8h​
Pan Used : https://tinyurl.com/y3szbwrq​
Tomato Puree : https://tinyurl.com/r7pdhj2​
Ginger Garlic Paste:
My Voice Recorder (mic) : http://goo.gl/eQJPRh​
My Main Camera : Canon 70d : http://goo.gl/xr53Xf​
Other Camera : http://goo.gl/9ri6Oy​
Infrared Thermometer Gun : http://goo.gl/ZIFszn​
Ph Scale : http://goo.gl/zbaLgP​
Cooking Thermometer : http://goo.gl/CuIVlB​
Electric Weighing Scale: http://goo.gl/SCDpUY​
My Daily Use Knife : https://goo.gl/67GCTY​ 
My Santoku Knife(for professionals only) : https://goo.gl/2HXf6z​

#tatasampann​

************************************************************************

Website : http://www.bharatzkitchen.com​
Facebook : http://www.facebook.com/bharatzkitchen​
Twitter : @bharatzkitchen
Insta : @bharatzkitchen",
ExqDHFGQo30,How To Make Pav Bhaji Recipe | Street Food | Easy mumbai street style pav bhaji,https://www.youtube.com/watch?v=ExqDHFGQo30,573,20210210,"PRODUCTS THAT I USE:
Measuring cups used:https://tinyurl.com/yybctuhx​
Kadhai Used : https://tinyurl.com/y2q9zw8h​
Pan Used : https://tinyurl.com/y3szbwrq​
Tomato Puree : https://tinyurl.com/r7pdhj2​
Ginger Garlic Paste:
My Voice Recorder (mic) : http://goo.gl/eQJPRh​
My Main Camera : Canon 70d : http://goo.gl/xr53Xf​
Other Camera : http://goo.gl/9ri6Oy​
Infrared Thermometer Gun : http://goo.gl/ZIFszn​
Ph Scale : http://goo.gl/zbaLgP​
Cooking Thermometer : http://goo.gl/CuIVlB​
Electric Weighing Scale: http://goo.gl/SCDpUY​
My Daily Use Knife : https://goo.gl/67GCTY​ 
My Santoku Knife(for professionals only) : https://goo.gl/2HXf6z​

#tatasampann​

************************************************************************

Website : http://www.bharatzkitchen.com​
Facebook : http://www.facebook.com/bharatzkitchen​
Twitter : @bharatzkitchen
Insta : @bharatzkitchen",
MLON5wGOPio,Super Sponge Eggless Cake - No Egg No Oven No Condense Milk Super Sponge Cake Recipe -bharatzkitchen,https://www.youtube.com/watch?v=MLON5wGOPio,410,20210108,,
ptGd9TqNFsc,MAGGI + PIZZA = MAGGIZZA | No Egg Without Oven Cheesy Noodles | Maggi Pizza Recipe,https://www.youtube.com/watch?v=ptGd9TqNFsc,270,20200223,"let's make together Maggi Pizza at home with simple tools, no oven and without eggs.",
z-XyaiT7lIA,Super Simple Dum Mutton Biryani Hydrabadi Style - Eid Special Recipe,https://www.youtube.com/watch?v=z-XyaiT7lIA,452,20190811,"Super Simple Lamb Biryani Hydrabadi Style Dum Biryani

full recipe link : http://www.bharatzkitchen.com/recipe/...

PRODUCTS THAT I USE:

PRESSURE COOKER : https://goo.gl/hEBYHW
Compound chocolate : https://goo.gl/xbW9xT
Similar Ramakins : https://goo.gl/YATW88
XanthanGum : https://goo.gl/XnaVxM
GMS : https://goo.gl/1Hg6cv
Cocoa Powder: https://goo.gl/d25GgY
Mixing Bowl : https://goo.gl/tFPSkA
Silicone Spatula : https://goo.gl/P52Gsw
Citric Acid : http://goo.gl/TZ5D0M
My Voice Recorder (mic) : http://goo.gl/eQJPRh
My Main Camera : Canon 70d : http://goo.gl/ 
Other Camera : http://goo.gl/9ri6Oy
OVEN used :https://goo.gl/ZfdHEJ
Infrared Thermometer Gun : http://goo.gl/ZIFszn
Ph Scale : http://goo.gl/zbaLgP
Cooking Thermometer : http://goo.gl/CuIVlB
Electronic Weighing Scale : http://goo.gl/SCDpUY

***********************************************************************

Website : http://www.bharatzkitchen.com
Facebook : http://www.facebook.com/bharatzkitchen
Twitter : @bharatzkitchen
Insta : @bharatzkitchen

***********************************************************************

MUSIC CREDITS:

music by :

https://soundcloud.com/julian_avila

Also :

YOUTUBE CREATE
IMOVIE SOUND
HTTP://WWW.INCOMPETECH.COM
HTTP://WWW.BENSOUND.COM
BHARATZMUSIC",
mQOtBhG6b3c,Gulab Jamun Recipe | Perfect Gulab Jamun Recipe NO Khoya | Milk Powder Gulab Jamun,https://www.youtube.com/watch?v=mQOtBhG6b3c,557,20190808,#RAKHISPECIAL #GULABJAMUN,
Od7Z_F6dn0I,Pasta In White Sauce Recipe | Pasta In Cheese Sauce | Indian Style white sauce pasta Recipe,https://www.youtube.com/watch?v=Od7Z_F6dn0I,426,20190804,,
dgUVlf_ugls,4 Most Unique Types Of Maggi | Biryani Maggi | Chilli Maggi | Chinese Maggi | Cheese Maggi,https://www.youtube.com/watch?v=dgUVlf_ugls,356,20190731,"Maggi Instant noodles are branded as ""Maggi 2 Minute Noodles""",
Fk-dyh2Zauo,Soyabean chilli recipe । soya chilli । Restaurant style Recipe - bharatzkitchen,https://www.youtube.com/watch?v=Fk-dyh2Zauo,321,20190707,,
