video_id,title,source_url,duration_seconds,upload_date,description,error
dpb592c4FJs,Chicken Biryani Recipe in English | Pressure Cooker Chicken Biryani | How to make Chicken Biryani,https://www.youtube.com/watch?v=dpb592c4FJs,301,20210405,"#chickenbiryani #pressurecookerchickenbiryani #howtomakechickenbiryani #spiceindiaonline
CHICKEN BIRYANI RECIPE | PRESSURE COOKER CHICKEN BIRYANI | HOW TO MAKE CHICKEN BIRYANI | CHICKEN BIRYANI PRESSURE COOKER | EASY CHICKEN BIRYANI | CHICKEN BIRYANI IN ENGLISH | CHICKEN BIRYANI SOUTH INDIAN | SIMPLE CHICKEN BIRYANI RECIPE
In this video, learn how to make simple homestyle chicken biryani recipe using pressure cooker. Easy biryani recipe for beginners/ bachelors  / homestyle chicken biryani  / simple biryani recipe with few basic ingredients. 
---------------------------------------------------------------------------------------------------------------------------------------------------------------

Ingredients
Basmati rice - 2 cups ( roughly 500 grams )
Chicken - 500 grams
Water - 3 cups
Oil - 1/4 cup
Ghee - 2 tbsp 
Whole garam masala (3bay leaf, 3 cinnamon, 6 cloves, 1 star anise, 4 cardamom & 1/2 tsp cumin seeds)
Onion - 2 cups
Green Chili - 8
Ginger Garlic paste - 1 tbsp
Tomato - 1 cup
Yogurt - 2 tbsp
Lemon juice - 1 tbsp
Coriander leaves - 1/2 cup
Mint leaves - 1/2 cup
Turmeric powder - 1/4 tsp 
Red Chili powder - 1 tsp
Coriander powder - 1 tsp
Fresh masala powder - ( 2 star anise petals  + 3 cardamom + 5 cloves + small cinnamon stick) 
Salt - 3 tsp 
Ghee - 1 tbsp ( for drizzle)
-----------------------------------------------------------------------------------------------------------------------------------------------------------------
chicken biryani recipe / how to make chicken biryani in pressure cooker / how to make chicken biryani in pressure cooker / pressure cooker chicken biryani / easy chicken biryani recipe / chicken biryani in english / bachelors chicken biryani / beginners chicken biryani / chicken biryani pressure cooker / chicken biryani in tamil / chicken biryani madras style / madras style chciekn biryani / homestyle chicken biryani / how to make biryani pressure cooker / biryani pressure cooker / biryani in pressure cooker / chicken biryani amma  style / south indian chicken biryani / tamil chicken biryani",
S5Ngh6CFRmc,Vegetable Dum Biryani | Biryani Recipe | Dum Biryani | Flavored Rice Recipes | Veg Recipes,https://www.youtube.com/watch?v=S5Ngh6CFRmc,242,20190625,"📌 Delicious Lunch Rice Recipes 👉https://www.youtube.com/show/VLPLFhw-Rie62rQ5Ejj-2NG5S7x3WbAcwUvJ?sbp=KgtpcTY5RTRNaTRtUUAB
Biryani lovers! 
Do you prefer vegetable biryani or paneer biryani?
Comment below 👇
Share this recipe with someone who loves homemade biryani ---https://www.youtube.com/watch?v=io55TbVqJRY&list=PLFhw-Rie62rQOUOXXFTUNt2nP1h1SliQ1&pp=sAgC


Vegetable Dum Biryani is a flavoured rice dish with perfect mix of veggies, masala and rice. This is done by layering the rice and cooking it in dum along with the vegetable masala. Veg Dum Biryani can be best when had with fresh mint raitha or onion raitha.

#Biryani #DumBiryani #BiryaniRecipe #homecooking #homecookingshow #hemasubramanian

Here is the link to Amazon HomeCooking Store where I have curated products that I use and are similar to what I use for your reference and purchase 
https://www.amazon.in/shop/homecookingshow 

Full Recipe & Step-by-Step Guide:https://homecookingshow.in/recipe/vegetable-dum-biryani-recipe/


You can buy our book and classes on http://www.21frames.in/shop

HAPPY COOKING WITH HOMECOOKING
ENJOY OUR RECIPES

WEBSITE: http://www.21frames.in/homecooking
FACEBOOK - https://www.facebook.com/HomeCookingShow
YOUTUBE: https://www.youtube.com/user/VentunoH... 
INSTAGRAM - https://www.instagram.com/homecooking...

A Ventuno Production : http://www.ventunotech.com",
K9qJQmOeohU,SECRETS To Cooking A PERFECT Chicken BIRYANI (STEP BY STEP GUIDE),https://www.youtube.com/watch?v=K9qJQmOeohU,1008,20230922,"How To Make Chicken Biryani - How To Cook Biryani Rice - Biryani Recipe For Beginners
🔔Please click on the link below and subscribe to Curries With Bumbi so that I can bring more new recipes for you-- https://www.youtube.com/channel/UCc5O8GaMvAGjmvENEvvqZrg
Ingredients Required For Making Chicken Biryani - serves 6 to 7
For Ginger Garlic Paste -
* 25 gm fresh ginger
* 45 gm/ 1 whole head of garlic
* 1 green chilli (optional)
* 1/3 cup water
For marinating chicken -
* 1.160 kg chicken on bones. Use large pieces
* 250 gm/ 1 cup plain unflavored yogurt(curd)
* 2 teaspoons kashmiri red chilli powder (please use just a teaspoon if you want to avoid the chilli heat or adjust proportion according to your preference)
* 1 teaspoon turmeric powder
* 2 teaspoons coriander powder
* 2 tablespoons Shan Biryani Masala. Put the leftover masala in an airtight container in the refrigerator. You can use it in any meat curry.
* 1 teaspoon salt
* 1 tablespoon oil
* 2 tablespoons chopped coriander leaves (cilantro)
* 3 to 4 mint leaves
* ginger garlic paste made earlier
For the curry -
* 200 ml / little less than three quarters of a cup of oil. Can also use a combination of ghee and oil.
* marinated chicken
* 2 dry bay leaves
* 475 gm onion ( use brown onions as shown in the video)
* 5 potatoes (optional)
* 1 teaspoon garam masala powder
For the rice - Always use less rice compared to the weight of chicken.
* 600 gms long grained Basmati rice rinsed till water runs clear and soak it in water for 30 mins. If using Sella Basmati, please soak it for over an hour.
* 1 tablespoon oil
* 1 tablespoon white vinegar/lemon juice
* 1 tablespoon salt
* 1 teaspoon Shahi jeera (optional)
* 2 dry bay leaves
* 5 to 6 green cardamoms, 5 cloves, 2 inch long cinnamon stick (if not using Shan Biryani Masala)
For Layering -
* 100 ml/1/2 cup warm milk with few strands to saffron crushed and soaked in it. Add 2 teaspoons Kewra water to it. You can also use Rose water if you do not like Kewra water.
* brown onions
* 4 tablespoons melted ghee/ skimmed out oil from curry( I used all of the skimmed out oil)
* chopped coriander leaves(cilantro)
* 10 to 15 mint leaves
* tiny pinch of yellow/orange food color (totally optional)
* 1 Tablespoon Biryani Masala
* 2 to 3 green/red chillies (optional)
* 1 tablespoon lemon juice
For Raita -
* heat a pan on medium heat. Add little less than a teaspoon of cumin seeds.
* stir the seeds on low heat till they become fragrant. Please do not allow seeds to turn too dark in color as they will get bitter.
* crush the seeds using a mortar and pestle or with the help of a rolling pin
* Beat 1/2 a cup of plain unflavored yogurt to a smooth consistency
* add the roasted crushed cumin seeds in the yogurt
* add 1/2 teaspoon chaat masala
* add 1 teaspoon sugar
* add 1/4 th teaspoon salt 
* freshly crushed black pepper
* chopped coriander leaves.
Always taste your raita and adjust the seasonings accordingly. You can also add some grated cucumber (squeeze out the water before adding)
KEEP IN TOUCH FOOD LOVERS -
My email - bumbicurry@gmail.com.  Share the photos of your culinary success by emailing me. 
Facebook - https://www.facebook.com/currieswithbumbi
🎬 Related videos -
🎬 Chicken & Lamb Recipes -
https://www.youtube.com/playlist?list=PLxgPEcdhkY4FjUhw6zc7nVQs2SkGSO41Q
🎬 Vegetable Biryani - https://youtu.be/Do7ZdUodDdw
🎬 Pulao Biryani Recipes - 
https://www.youtube.com/playlist?list=PLxgPEcdhkY4HtAhDls39--WlMPAji0l8C

🎼Background Music - (From YouTube Audio Library)-
* The Trapezist By Quincas Moreira

**** This is not a sponsored video. I’ve been using Shan Biryani Masala for making Biryani for a long time so thought of sharing it with the audience. ****

DISCLAIMER- The information provided on this channel is for general purposes only and should not be considered as professional experience. All opinions/views/suggestions expressed here are based on my personal experience of cooking which I gained for years at my own home kitchen. While making videos, I have taken into consideration all possible and required safety precautions, but still any action you take based upon the information on this channel is strictly at your own discretion and risk, and we are not liable for any harm or damage in connection after watching or trying out the content presented in our videos.
Have a happy and safe cooking experience.",
PmqdA05OXuI,Simple Chicken Biryani | Restaurant Style Eid Special Biryani | The Bombay Chef – Varun Inamdar,https://www.youtube.com/watch?v=PmqdA05OXuI,330,20160629,"Learn how to make mouthwatering and tempting Chicken Biryani at home with Chef Varun Inamdar

Biryani is prepared using fragrant rice, aromatic spices, and chicken. It is prepared in many ways and chef Varun Inamdar presents to you the delicious and the easiest one a Ramzan Special Biryani. So watch and learn how to make Chicken Biryani only on Get Curried

Latest Recipes:
Sheer khurma - Ramzan Special Recipe - Hyderabadi Sheer Khurma - https://youtu.be/l7z_rqWgV2M
Tariwala Chicken Recipe - Quick And Easy Chicken Curry - https://youtu.be/5vHOkNeKRb0
Dahi Bhalla Recipe - Indian Chat Recipe - Homemade Dahi Bhalla - https://youtu.be/M_NDZbaS3KE

Ingredients 
For rice
300 gms basmati rice
2 litres water
Salt as required
2 tbsp ghee
1 tsp oil
1 bay leaf
2 green cardamom
1 black cardamom
1 inch cinnamon
8 black pepper corn
4 cloves
For chicken
3 tbsp oil
2 tsp ghee
2 no peeled potatoes
3 green cardamoms
1 black cardamom 
4 cloves
1 inch cinnamon stick
1 bay leaf
Marination of chicken
600 gms chicken 
Salt as required
1/2 tsp turmeric
1 tbsp chilli pwd 
1 cup dahi
1 tbsp ginger-garlic paste
1 large onion (golden fry)
1/2 cup chopped tomatoes
Water as required 
2 boiled eggs
Garnish
1 large onion (golden fry)
Mint leaves

Method
- In a pan heat oil then some ghee and once it heats well, add garam masala and peeled potatoes and  cook until the potatoes turn golden brown

- Marinate the chicken by adding yogurt, ginger garlic paste, salt, turmeric powder, red chilli powder, fried onions and tomatoes mix it nicely.

- Add the marinated chicken into the pan and mix well, then add water.

- Cover it with a lid and cook on medium flame till its done

- In a pan add ghee and oil once it heats up add garam masala,lower the flame and add water and salt.

- Add the washed and soaked rice to the boiling water and let it cook on high flame. When it's 3/4th cooked drain the rice

- Place two boiled eggs and rice into the chicken and cover with lid on it and cook it on high flame for 8 minutes and low flame for 2 minutes

- Garnish it with fried onions, fresh mint and fresh onion.

- Chicken Biryani is ready to be served

#ChickenBiryani #GetCurried #VarunInamdar

Watch 5 Types of Biryani Raitas, here- https://youtu.be/hf_7IyLAzis

Host : Varun Inamdar
Copyrights: REPL

Subscribe and Get regular Updates: http://bit.ly/SubscribeToGetCurried

https://www.facebook.com/GetCurried

https://twitter.com/Get_Curried

https://instagram.com/getcurried


Biryani is a mixed rice dish with its origins among the Muslims of the Indian subcontinent. It is made with Indian spices, rice, and meat (chicken, beef, goat, pork, lamb, prawn, or fish), or vegetables and sometimes, in addition, eggs and/or potatoes in certain regional varieties. Biryani is popular throughout the Indian subcontinent, as well as among its diaspora. It is also prepared in other regions such as parts of Afghanistan, Iran and Iraq.It is a dish that has acquired a niche for itself in South Asian cuisine. .


For brand collaborations and inquiries, reach out to us at: replcollabs@gmail.com",
w8hDk8ihxBI,रेस्टोरेंट स्टाइल चिकन बिरयानी | Chicken Biryani Recipe | Easy Chicken Biryani | bharatzkitchen,https://www.youtube.com/watch?v=w8hDk8ihxBI,440,20260516,"#chicken #biryani #easy 


INGREDIENTS TO MAKE CHICKEN BIRYANI

FOR MARINATION

750g  Chicken
1/2 cup Curd ( 50g )
2 Tbsp Ginger & Garlic Paste
6 Green Chillies ( 15g )
1/4 tsp Turmeric Powder
1.5 tsp Coriander Powder
1/2 tsp Roasted Cumin Powder
1 tsp Biryani Masala
1.5 tsp Salt
1/2 tsp Red chilli Powder
2 tsp Kashmiri Red Chilli Powder
Mint Leaves
Coriander Leaves
1 tsp Kasuri Methi
1/2 tsp Kewra Water
1 Lemon Juice
Food colour

Whole Spices ( FOR MARINATION & BOILING RICE )

10-12 Black Peppercorns
3 Green Cardamoms 
3 Cloves
1/2 Cinnamon Stick
Mace 
Star Anise
1 Bay Leaf

FOR RICE BOILING

500g Rice
2 Litre Water
2 Tbsp Salt
3 Green Chillies
Mint Leaves
Coriander Leaves
1/2 tsp Biryani Masala
1 Tbsp Desi Ghee

FOR BIRISTA

4 Onions

FOR COOKING

1/2 Cup OIL
1/2 Cup Water
Mint Leaves
Coriander Leaves
1 Tbsp Desi Ghee
1/2 tsp Biryani Masala
1 tsp Kewra Water
2 tsp Food Colour",
uygb9O-MDPw,Chicken Dum Biryani Recipe | स्वादिष्ट चिकन दम बिरयानी | Chef Sanjyot Keer,https://www.youtube.com/watch?v=uygb9O-MDPw,1138,20220422,"What if you could sit at home and order all your necessary food ingredients delivered in minutes to your doorstep? 
YES! Swiggy instamart gives you the freedom to order not only ingredients, but also household essentials and utilities. Swiggy Instamart is available in the Swiggy app and active from 6 am till late night.

Get your groceries delivered in minutes by clicking : https://swiggy.onelink.me/888564224/1dc54c2d

Use my coupon code ""IMYFL"" to get flat 70 off above 199 on your first order

#ChickenBiryani #SwiggyInstamart #InstamartDelivers 

Full written recipe for Chicken Biryani

Prep time : 30-35 Minutes
Cooking time : 1hr - 1hr
Serves: 4-5 people

Birista
Ingredients:
 • ONION | प्याज़  1/2 KG

Biryani Masala
Ingredients:
 • CORIANDER SEEDS | धनिया 2 TBSP
 • CUMIN SEEDS | जीरा 1 TSP
 • CARAWAY SEEDS | शाह जीरा 2 TSP
 • GREEN CARDAMOM | हरी इलायची 2 TBSP
 • BLACK CARDAMOM | बड़ी इलाइची 5-6 NOS.
 • CINNAMON | दालचीनी 3 INCH
 • BLACK PEPPERCORNS | काली मिर्च 1 TBSP
 • SPICY RED CHILLIES | तीखी लाल मिर्च 7-8 NOS.
 • BAY LEAF | तेज पत्ता 7-8 NOS.
 • CLOVES | लौंग 2 TSP 
 • MACE | जावित्री 3 NOS.
 • KASURI METHI | कसूरी मेथी 1 TBSP
 • NUTMEG | जायफल 1/2 NOS. (GRATED)
 • TURMERIC POWDER | हल्दी 1/2 TSP
 • SALT | नमक A PINCH

Marinating & cooking the chicken
Ingredients:
 • CHICKEN | चिकन 1/2 KG (LEG & THIGH)
 • SALT नमक TO TASTE
 • LEMON JUICE | नींबू का रस OF 1 NOS.
 • GINGER GARLIC PASTE | अदरक लेहसुन कि पेस्ट 4 TBSP
 • GREEN CHILLI PASTE | हरी मिर्च कि पेस्ट OF 3 NOS.
 • KASHMIRI RED CHILLI POWDER | कश्मीरी लाल मिर्च पाउडर 2 TBSP
 • TURMERIC POWDER | हल्दी 1/2 TSP
 • CORIANDER POWDER | धनिया पाउडर 2 TSP
 • BIRYANI MASALA | बिरयानी मसाला 1.5 TBSP
 • BRISTA OIL | बिरिसता वाला तेल 3-4 TBSP
 • CURD | दही 200 ML
 • POTATOES | आलू 1 MEDIUM SIZED (OPTIONAL)
 • MINT | पुदीना SMALL HANDFUL (CHOPPED)
 • FRESH CORIANDER SMALL HANDFUL (CHOPPED)
 • GHEE | घी 2 TBSP

Boiling rice
Ingredients:
 • BAY LEAF | तेज पत्ता 1-2 NOS.
 • CINNAMON | दालचीनी 1 INCH
 • CARAWAY SEEDS | शाह जीरा 1 TSP
 • GREEN CARDAMOM | हरी इलायची 3-4 NOS.
 • CLOVES | लौंग 4-5 NOS.
 • STAR ANISE | चकरी फूल 1 NOS.
 • BLACK PEPPERCORNS | काली मिर्च 3-4 NOS.
 • GREEN CHILLI | हरी मिर्च 1-2 NOS. (SLIT)
 • LEMON JUICE | नींबू का रस OF 1/2 NOS.
 • SALT | नमक AS REQUIRED
 • BASMATI RICE | बासमती चावल 1/2 KG (WASHED & SOAKED FOR 1 HOUR)
Layering & dum cooking
Ingredients:
 • FRESH CORIANDER | हरा धनिया SMALL HANDFUL (CHOPPED)
 • MINT | पुदीना SMALL HANDFUL (CHOPPED)
 • BIRYANI MASALA | बिरयानी मसाला A PINCH
 • BIRISTA | बिरिसता SMALL HANDFUL
 • GHEE | घी 3-4 TBSP (WARM)
 • WATER | पानी AS REQUIRED
 • MILK | दूध AS REQUIRED
 • SAFFRON | केसर AS REQUIRED
 • FRESH CORIANDER | हरा धनिया SMALL HANDFUL (CHOPPED)
 • MINT | पुदीना SMALL HANDFUL (CHOPPED)
 • BIRISTA | बिरिसता

Chapters - 
0:00 - Intro
1:31 - Birista
5:22 - Biryani masala
7:34 - Marination
9:49 - Cooking chicken
11:39 - Rice
14:10 - Layering
15:23 - Dum cooking
16:36 - Plating
17:34 - Tasting
17:58 -Outro",
95BCU1n268w,SIMPLE CHICKEN BIRYANI FOR BEGINNERS | CHICKEN BIRYANI RECIPE FOR BACHELORS,https://www.youtube.com/watch?v=95BCU1n268w,309,20200516,"Simple Chicken Biryani for Beginners | Chicken Biryani Recipe for Bachelors | Simple Chicken Biryani for Bachelors | Chicken Biryani with Biryani Masala | Chicken Biryani | Chicken Biryani Recipe | How To Make Chicken Biryani | Easy Chicken Biryani Recipe

CELA Brand of Kitchen Products by Spice Eats. Available on Amazon India - https://amzn.to/47OVIn7
CELA Large Stainless Steel Cutting Board - https://amzn.to/4odjf7x
CELA 2 in 1 Glass Oil Sprayer and Dispenser Bottle - https://amzn.to/49t9aiY
CELA Digital Kitchen Timer - https://amzn.to/4idulrv

Ingredients for Chicken Biryani:

- Chicken, large pieces with bones- 1 kg
- Basmati Rice- 700 gms (4 US cup measure) 

For Cooking Chicken:

- Onions, sliced- 400 gms (around 5 medium sized onions)
- Ginger Garlic paste- 2 tbsp
- Tomatoes, sliced- 4 medium 
- Green Chillies, slit- 6 numbers
- Coriander leaves, chopped- 1 cup
- Mint leaves, chopped- 1 cup
- Whisked curd/plain yogurt- 1 cup 
- Ready made Biryani Masala- 5 tbsp


For Cooking Rice:

- Shahjeera (caraway seeds) - 1/2 tsp
- Green cardamom - 4
- Cloves - 4
- Cinnamon- 2 pieces
- Salt- 2 1/2 tablespoon 
- Water to boil the rice- around 2.5  litres 
- Mint leaves - around 10- 15 leaves 

Preparation :

- Clean & wash the chicken pieces. Drain the water or pat dry.
- Slice the onions and tomatoes. Slit 6 green chillies
- Chop 1 cup coriander leaves and 1 cup mint
- Whisk the yogurt and set aside
- Wash & soak the Basmati Rice for 30 mins.


Process :

To cook the Chicken:

- Heat 6 tbsp oil in a heavy bottom pan and add the sliced onions.
- Fry on high heat for around 12 mins till the onions are light brown.
- Add the ginger garlic paste and fry on low heat for 2 mins.
- Now add the chicken pieces, mix and fry on high heat for 2-3 mins. 
- Add the ready made Biryani Masala, mix and fry on medium heat for 3 mins after adding a splash of water. 
- Readymade Biryani Masala usually contains salt, hence salt is not added while cooking the chicken in this recipe. Do check if the biryani masala you are using has salt in it.
- Now add the sliced tomatoes, mix it well and cook on medium to low heat for 4-5 mins till soft.
- Keep the heat on low and add the whisked curd/yogurt. Give a mix and then add the chopped coriander and mint leaves.
- Cook on low heat for 2 mins till oil separates. 
- Cover & cook on low heat for around 20-25 mins till chicken is tender. Remove lid after 10 mins, give a mix and close the lid again.
- Dry up any excess water to get a thick gravy. 

To cook the Rice:

- Take one more heavy bottom pan & add around 2.5 litres of water.  Place it on high heat. 
- You may include the water in which rice was soaked in this 2.5 litres for enhanced flavour & taste. 
- Once the water starts to boil or bubble, add Shah Jeera - 1/2 tsp, Green cardamom -4,  Cloves - 4, Cinnamon- 2 pieces and Salt- 2 1/2 tablespoon (two and half tablespoon)
- Stir it well to dissolve the salt completely . The water must be very salty. 
- Once the water starts boiling, add the strained basmati rice & stir it well. 
- Continue to boil it on high heat, stirring few times very gently to not break the rice.
- After 8-9  minutes when the basmati rice is almost done (90%) remove it from heat and strain the water. Set it aside.

Layering the rice and cooked chicken:

- Take a heavy bottom pan and spread half the cooked rice as the 1st layer.
- Now spread the cooked chicken with gravy on top of the rice uniformly as shown in the video.
- Next, spread the balance rice as the top layer.
- Sprinkle some mint leaves on top of the rice. Close the lid and cook on low heat for 7-8 mins.
- Allow it to rest for around 20 mins.
- Once you open the lid, mix the chicken and rice evenly. 


#chickenbiryani #simplechickenbiryani #easychickenbiryani #chickenbiryanirecipe #bachelorchickenbiryani #spiceeats #spiceeatsrecipes #spiceeatschicken 




https://youtu.be/KQH-pUa9y2o",
PVO-4Jnjpfk,Chicken Biryani/ Simple & Tasty Chicken Biryani/ Biryani Recipes,https://www.youtube.com/watch?v=PVO-4Jnjpfk,239,20230617,"#chickenbiryani #biryani #dindigulfoodcourt 

Chicken Biryani

Ingredients 
Basmati rice – 2 cups
Chicken – 750 grams
Star anise – 1
Cinnamon stick – 3
Cloves – 6 to 8
Cardamom – 5
Cumin seeds – ½ teaspoon
Fennel seeds – ½ teaspoon
Pepper – ¼ teaspoon
Ginger garlic paste – 2 tbl spoon
Turmeric powder
Chilli powder – 1 teaspoon
Coriander powder – 1 teaspoon
Curd – 3 tbl spoon
Oil – 3 tbl spoon
Ghee – 2 tbl spoon
Bay leaf – 1
Cinnamon stick
Cardamom – 1
Cloves – 2
Onion – 2
Green chilli – 2
Tomato – 2
Mint leaves
Coriander leaves
Water – 2 ¾ cup
Salt
Juice of half lemon",
uJ-F8gk4EwE,रेस्टोरेंट स्टाइल चिकन बिरयानी | Chicken Biryani Recipe | Easy Chicken Biryani | Chef Ashok,https://www.youtube.com/watch?v=uJ-F8gk4EwE,648,20240714,"रेस्टोरेंट स्टाइल चिकन बिरयानी | Chicken Biryani Recipe | Easy Chicken Biryani | Chef Ashok

ingredients:-
1.5 kg chicken 
salt to taste 
1.5 kg basmati rice 
6 onion 
.150 ml oil
2 tbsp ginger garlic paste 
1/2 tsp turmeric powder 
1 tbsp kashmiri mirch masala 
1 tsp red chilli powder 
1 tsp coriander powder 
1 tsp cumin powder 
1 cup curd
5-7 green chilli 
fresh mint 
chop coriander 
2 tsp garam masala powder/ biryani masala
saffron 
rogan
Desi ghee

#chickenbiryani #chickendumbiryani #biryani #cookingwithchefashok",
F41ug9cFDds,அசல்🔥 Vaniyambadi Chicken Biryani இனி வீட்டிலேயே! Must Try Biryani -Don't Miss! Chef Deena's Kitchen,https://www.youtube.com/watch?v=F41ug9cFDds,1073,20250601,"Brace yourselves for a culinary revelation! The iconic Chef Deena graces the hallowed halls of Hotel Ahmedia, poised to immerse himself in the spellbinding, intricate artistry that defines their Vaniyampadi Special Chicken Biryani. This is more than just cooking; it's a breathtaking convergence of mastery and tradition, where every precise step elevates a dish to an almost mythical, unforgettable experience. Witness pure gastronomic magic unfold!

This biryani is a must-try at least once in your lifetime!
Ahmedia Restaurant - Vaniyambadi
Mr. Mohamed Zeeshan - 97893 29139

Vaniyambadi Chicken Biriyani
Basmati Rice - 3 Kg 
Chicken - 3 Kg
Onion - 1 Kg
Ginger - 300g
Garlic - 300g
Green Chilli - 4 to 5 Nos. 
Tomato - 1 Kg
Whole Garam Masala - 30g 
Chilli Powder - 30 to 35g 
Curd - 1 Ltr
Coriander Leaves - A Handful
 Mint Leaves - A Handful
Salt - To Taste
Lemon - 5 Nos. 
Groundnut Oil - 900ml 
Ghee - 200ml

Please check out Ahmedia’s Mutton Biryani ⬇️

இது தான் BIRYANI🔥 1975-ல இருந்து AHMEDIYA VANIYAMBADI MUTTON BIRYANI |CDK 1725 |Chef Deena's Kitchen
https://youtu.be/_SKeUsycVDE



My Amazon Store { My Picks and Recommended Product }
https://www.amazon.in/shop/chefdeenaskitchen

_______________
Hello!!  My Name is chef Deena from the popular Adupangarai show in Jaya TV Viewers must have seen me in Zee Tamil shows as well.  My Culinary journey as a trainee to become an Executive Chef is incredible. My experience in the culinary field is for more than fifteen years and my USP is Indian cooking !! Apart from being a TV cookery host, my experience lies mainly with being employed in some of the major star hotels across the country especially the Marriott group.

     Chef Deena Cooks is my English Youtube Channel! Practical, simple recipes are my forte and using minimal easily available ingredients is my hallmark. Rudiments of cooking and baking are taught from scratch and any amateur cook can learn to make exciting dishes by watching my channel!  Also, Cooking traditional foods, Easy cooking Recipes, Healthy Snacks, Indian curries, gravies, Baking and Millions of other homemade treats. 

Subscribe to Chef Deena Cooks (CDK) for more cooking videos.

#chef #food #biryani #chicken #authentic 
______________________________________________________________________
Follow him on 
Facebook: https://www.facebook.com/chefdeenadhayalan.in/
Instagram: https://www.instagram.com/chefdeenadhayalan/

English Channel Chef Deena Cooks: https://bit.ly/2OmyG1E

Membership : https://www.youtube.com/channel/UCAAXHT6P8enChyEwOXDevMA/join

Business : pr@chefdeenaskitchen.com
Website : www.chefdeenaskitchen.com
Career : https://forms.gle/reP5n3RcHpXLXo1MA",
