video_id,title,source_url,duration_seconds,upload_date,description,error
N_e1pc_Lpjg,Instant Dal In 5 Minutes | Dal Premix Recipe | Delicious Indian Dal | For Students | Rajshri Food,https://www.youtube.com/watch?v=N_e1pc_Lpjg,299,20230710,"Snacks Recipe | Quick & Easy | Rajshri Food | Dal Premix | Dal Premix Recipe | Moong Dal Premix | Premix Recipe | Dal Recipe | Mix Dal Recipe | Mix Dal Tadka Recipe | Dal Tadka Premix Recipe | Gujarati Dal Premix Recipe | Dal Recipes | Khichdi Premix Recipe | Pre Mix Recipe | Gujarati Dal Premix | Gujarati Dal Premix | Dal Recipe Dal Tadka Recipe | Instant Dal Recipe | Instant Recipes for Students | Instant Recipes for Abroad Students | Instant Recipes for Indian Students | Instant Recipes for International Students | Instant Recipes for College Students 

Learn how to make ""Dal Premix' at home with our Chef Ruchi Bharani

Ingredients:
1½ cup Pigeon Peas / Toor Dal
½ cup Red Lentil / Masoor Dal
3 tbsp Oil
1½ tbsp Mustard Seeds
1½ tbsp Cumin Seeds
2 pieces Cinnamon Sticks
5-6 Dried Red Chillies
10-12 Curry Leaves
1 tsp Asafoetida
1 tsp Turmeric Powder
1½ tsp Red Chilli Powder
1 tbsp Onion Powder
1 tsp Garlic Powder
1 tbsp Coriander Cumin Seed Powder                   
Salt to taste Small pinch
Citric Acid                                                    
1 tbsp Oil                                                      
1 Tomato (chopped)                                                 
½ ltr Water                                                              
Salt to taste

#AnybodyCanCookWithRajshriFood 

Visit our Website for more Awesome Recipes
http://rajshrifood.com/



Host: Chef Ruchi Bharani
Copyrights: Rajshri Entertainment Private Limited

Subscribe & Stay Tuned - http://bit.ly/SubscribeToRajshriFood

For more videos log onto http://www.youtube.com/rajshrifood  

Find us on Facebook at https://www.facebook.com/rajshrifood
Find us on Instagram at https://www.instagram.com/rajshrifood

Find us on Twitter at https://twitter.com/rajshrifood

Follow the Rajshri Food channel on WhatsApp: https://whatsapp.com/channel/0029Vb4IFfhG8l58PlJflL2m . .
For brand collaborations and inquiries, reach out to us at: collab@rajshri.com",
XzKkkMdo7Jk,dal tadka recipe | ढ़ाबा स्टाइल दाल तड़का | yellow dal tadka | restaurant style dal fry tadka,https://www.youtube.com/watch?v=XzKkkMdo7Jk,193,20190924,"full recipe: https://hebbarskitchen.com/dal-tadka-recipe-yellow-dal-tadka/

Music: http://www.hooksounds.com/

dal tadka recipe | yellow dal tadka | restaurant style dal fry tadka with detailed photo and video recipe. a simple and tasty lentil based curry recipe made with split pea lentil and indian spices. it is one of the most sought lentil curry recipe made and served as a side to rice based recipes. having said that when the same recipe made with thick consistency, the recipe can be served as a side to roti or chapathi.

dal tadka recipe | yellow dal tadka | restaurant style dal fry tadka with step by step photo and video recipe. recipes made using dal or lentil is very common across india. there are numerous recipes made with myriad types of lentils, which is made for different purpose and for different occasions. one such simple and easy lentil based recipe is the toor dal or arahar dal based dal tadka recipe known for its flavour from tampering.",
4WKNCsy5q58,Indian Dal Fry 5 Types | दाल फ्राई करे के पंच आसन तारिके | Chef Kunal Kapur Recipes,https://www.youtube.com/watch?v=4WKNCsy5q58,371,20190112,"Indian Dal Fry | दाल फ्राई करे के पंच आसन तारिके | Chef Kunal Kapur Recipes
तड़के को बदलकर पीले रंग की दाल को कई तरह से बनाया जा सकता है।

The humble yellow dal can be made in many ways just by changing the tempering. Here are 5 easy tadka or tempering. 

#DalTadka #DalFry #YellowDal #KKitchen #KunalKapurRecipes

For the Written Recipe - https://www.chefkunalkapur.com/?s=dal+tadka
----------------------------------------------------------------------------------------

Check out other Popular Recipes:
Punjabi Dal Tadka Dal Fry Dhaba Style पंजाबी दाल तड़का दाल फ़्राई ढाबा वाली | Kunal Kapur Recipes- https://www.youtube.com/watch?v=tmiGPrOiUQE
Dal Makhni Recipe in Hindi | दाल मखनी रेस्टौरंट जैसी | Kunal Kapur Recipe- https://www.youtube.com/watch?v=o3k55z-tv9I
Chana Dal Fry Recipe | Dhaba Style Dal Fry | Dal Tadka recipe | Chef Kunal Kapur Recipes-
https://www.youtube.com/watch?v=VoV7b7XtS2E
Rajma Chawal Recipe | Punjabi Style | Rajma Recipe | Chef Kunal Kapur-https://www.youtube.com/watch?v=M_ncAJhIaIU
-------------------------------------------------------------------------------------

Hi, I am Chef Kunal Kapur and this is my space, my channel. Subscribe & Together let's cook. 

👉🏻  Click here to Subscribe: https://www.youtube.com/c/KunalKapur
👉🏻  Website: http://www.chefkunalkapur.com/​​​​​​​
-------------------------------------------------------------------------------------

Follow Chef Kunal Kapur on your favourite Social Media Channels: 
👥 Facebook: https://www.facebook.com/thekunalkapur​
📸 Instagram: https://www.instagram.com/chefkunal​​​
🐦 Twitter: https://twitter.com/ChefKunalKapur​​​​
📌 Pinterest: https://in.pinterest.com/chefkunal

------------------------------------------------------------------------------------",
7glnRR01_pE,Andhra Style Tomato Pappu | Tomato Dal Recipe | Lunch Recipes | Healthy Recipes | Dal Recipe,https://www.youtube.com/watch?v=7glnRR01_pE,247,20241225,"https://www.youtube.com/playlist?list=PLFhw-Rie62rR7a_rJzo0kJMkwtA8-vXwI
https://www.youtube.com/playlist?list=PLFhw-Rie62rRuSUkXlwvMWG3DuI80Mj-V
https://www.youtube.com/playlist?list=PLFhw-Rie62rRWPnU8a279tdcI3AE-arkD
https://www.youtube.com/playlist?list=PLFhw-Rie62rTkmGeKxQJlE5j9Zev8AbUq

Andhra Style Tomato Pappu | Tomato Dal Recipe | Lunch Recipes | Healthy Recipes | Dal Recipe

#tomatodalrecipe #lunchrecipes #tomatopappuandhrastyle #healthyrecipes #dalrecipe #tomatorecipes #homecookingshow 




📌 Full Recipe & Step-by-Step Guide: 👉


https://homecookingshow.in/recipe/andhra-style-tomato-pappu/

To Make Cooked Dal

Toor Dal - 1/2 Cup
Onion - 1 No.
Tomato - 3 Nos
Green Chilli - 3 Nos
Turmeric Powder - 1/2 Tsp
Red Chilli Powder - 1 Tsp
Salt - 1 Tsp
Tamarind Puree
Water


For Tempering

Ghee - 3 Tbsp
Urad Dal - 1 Tsp
Mustard Seeds - 1 Tsp
Cumin Seeds - 1 Tsp
Red Chilli - 3 Nos
Garlic - 5 Cloves
Hing / Asafoetida
Curry Leaves
Salt - 1 Tsp
Coriander Leaves


Method

To a pressure cooker add half cup of soaked door dal.
To this add chopped onions, chopped ripe tomatoes, green
chilies slit, turmeric powder, red chilli powder, rock salt and
mix it all together.
Add tamarind water to this and mix again.
Pour enough water for cooking and mix well.
Close the cooker, place the weight and cook till 4 whistles.
After 4 whistles, switch off the stove and wait for the pressure
to release.
Open the cooker and mash the cooked dal.
Keep the mashed dal aside.
To a pan, add ghee, urad dal. Mustard seeds, cumin seeds, red
chillies, slightly pounded garlic cloves and roast them.
Once the mustard seeds start spluttering, add asafoetida
powder, few fresh curry leaves and roast them.
Add the cooked and mashed dal and boil for 5 minutes.
Add salt if required and cook for some more time.
Add chopped coriander leaves and mix again.
Tasty tomato pappu is ready to be served nice and hot.

You can buy our book and classes on https://www.21frames.in/shop

HAPPY COOKING WITH HOMECOOKING
ENJOY OUR RECIPES

WEBSITE: https://www.21frames.in/homecooking
FACEBOOK -https://www.facebook.com/homecookingshow/
YOUTUBE: https://www.youtube.com/HomeCookingShow
INSTAGRAM - https://www.instagram.com/homecookingshow/

A Ventuno Production : https://www.ventunotech.com/",
P4i9jKiJZTk,2 ways simple & healthy khichdi recipe - moong dal khichdi & mix veg masala khichdi restaurant style,https://www.youtube.com/watch?v=P4i9jKiJZTk,410,20210120,"full recipe: https://hebbarskitchen.com/moong-dal-khichdi-recipe/

Music: http://www.hooksounds.com/

khichdi recipe | dal khichdi recipe | how to make moong dal khichidi with detailed photo and video recipe. perhaps one of the health and comfort food recipe made with a combination of rice and moong dal. across india, khichdi recipes are made for different reasons and occasions, but the basic ingredients and combination remains the same. generally it has the all spices and flavours in it and is served as it is without any sides, but tastes great when served with a hint of pickle or creamy yoghurt.
khichdi recipe | dal khichdi recipe | how to make moong dal khichidi with step by step photo and video recipe. rice and dal based recipes are a common comfort food for many indians and are usually made for day to day purpose. there are many ways it can be made with different types of lentils and different types of ratio between rice and lentil. but the basic one is the moong dal khichdi recipe made with the equal proportion of rice and moong dal lentil to form a classic tasty khichdi recipe.",
DmLGRbl_aHw,Dal Tadka Recipe | Restaurant Style Dal Tadka Recipe | Dhaba Style Dal Tadka Recipe | Varun Inamdar,https://www.youtube.com/watch?v=DmLGRbl_aHw,302,20170630,"Learn How To Make Dal Tadka Recipe from The Bombay Chef - Varun Inamdar only on Rajshri Food. 
Make this simple, quick and easy Restaurant Style Dal Tadka Recipe at your home and share with us your experiences in the comments section below.

Ingredients:-
1 cup Toor Dal (Washed and soaked for 20 minutes and Boiled in 2 cups water and 1 tsp. salt)
1 tsp. turmeric powder

First tempering:
1 tbsp. ghee
¼ tsp. asafoetida
1 tbsp. ginger garlic green chilli, crushed
1 onion, finely chopped
1 tsp. Mustard seeds
1 sprig curry leaves
1 tomato, finely chopped
1 tsp. red chilli powder
1 tsp. coriander powder
Additional salt if required

Second tempering:-
1 tbsp. ghee
1 tsp. cumin seeds
1 tsp. red chilli powder
10 curry leaves
3 red chillies, dried

Coriander leaves

Method:-
- In a pressure cooker add the dal, turmeric powder, salt and water. Pressure cook until 7 whistles are blown.
- In a pan heat ghee, mustard seeds, curry leaves, onions, salt and saute until the onions are golden brown.
- Now add crushed ginger-garlic-green chilli, red chilli powder, turmeric powder, coriander powder, asafoetida and chopped tomatoes. Let it cook for 4-5 minutes.
- Transfer the pressure cooked dal into this masala and mix properly and add water.
- Add coriander leaves and turn the flame off.
- In a Tadka Waati or small utensil, heat ghee and add cumin seeds, curry leaves, whole dried red chillies, red chilli powder and pour hot over the dal.
- Mix thoroughly and serve hot!

Dal Tadka is ready to serve!

HAPPY COOKING!!!

Host: Varun Inamdar
Copyrights: Rajshri Entertainment Private Limited

Subscribe & Stay Tuned - http://bit.ly/SubscribeToRajshriFood               

For more videos log onto http://www.youtube.com/rajshrifood  

Find us on Facebook at https://www.facebook.com/rajshrifood . .
For brand collaborations and inquiries, reach out to us at: collab@rajshri.com",
CM0J-pkbcHY,Dal: Easy Indian Comfort Food,https://www.youtube.com/watch?v=CM0J-pkbcHY,495,20230409,"While Indian cuisine can be complex, Dal is a simple, comforting dish that acts as a centerpiece that binds everything together in a typical Indian meal. Each region has a unique take on the dish, and it can be made easily with a few pointers and a combination of spices like cumin, garam masala, and turmeric. Chitra Agrawal of Brooklyn Delhi guides us through making a delicious and healthy Indian Dal topped with spiced ghee.

Follow along in the video or check out Agrawal's recipe here:
https://www.vice.com/en/article/qjkwmm/dal-tadka-recipe

Subscribe to MUNCHIES here: http://bit.ly/Subscribe-to-MUNCHIES
All MUNCHIES videos release a full week early on our site: https://video.vice.com/en_us/channel/munchies

Hungry? Sign up here for the MUNCHIES Recipes newsletter.
https://www.vice.com/en_us/page/sign-up-for-munchies-recipes-newsletter

Check out http://munchies.tv for more!

Follow MUNCHIES here:
TikTok: https://www.tiktok.com/@munchies
Facebook: http://facebook.com/munchies
Instagram: http://instagram.com/munchies
Twitter: http://twitter.com/munchies
Pinterest: https://www.pinterest.com/munchies

More videos from the VICE network: https://www.fb.com/vicevideo",
iS7rpaN5HzA,Gujarati Dal Recipe | Khatti Meethi Dal Tadka Recipe Kunal Kapur Indian Food Recipes | Chef Kapoor,https://www.youtube.com/watch?v=iS7rpaN5HzA,75,20180501,"Click for recipe - https://www.chefkunalkapur.com/khatti-methi-dal-tadka/
This dal is an addiction, the sweet sour flavour of the dal is unbelievable. Best had with roti or rice. #KKitchen #KunalKapurRecipes
Click to Subscribe -  https://goo.gl/GKskZU
Website - http://www.chefkunalkapur.com/
Fb - https://www.facebook.com/thekunalkapur/?ref=settings
Twitter - https://twitter.com/ChefKunalKapur
Instagram - https://www.instagram.com/chefkunal/",
VMqzpy1He7Y,Easy Yellow Dal Tadka Recipe (Indian Lentil Stew) - MUST TRY!,https://www.youtube.com/watch?v=VMqzpy1He7Y,425,20210401,"#YellowDalTadka #LentilStew #Vegetarian 

Dal chawal is a staple in most Indian homes. Dal is basically an Indian lentil stew that is made and eaten with rice or even roti. This is my yellow dal tadka recipe which is full of flavour and great to eat on a daily basis. You can call it healthy, nutritious and tasty! It's definitely the EASIEST dal recipe and I hope you will give it a try. 

Get the written recipe with macros at https://headbangerskitchen.com/recipe/yellow-dal-tadka/ 

Buy my book from http://geni.us/ketolife
Also available at
Barnes & Noble (USA): https://www.barnesandnoble.com/w/keto-life-sahiil-makhija/1131502331
Chapters Indigo (Canada): https://www.chapters.indigo.ca/en-ca/books/keto-life-over-100-healthy/9781604339055-item.html
Booktopia (Australia): https://www.booktopia.com.au/keto-life-sahil-makhija/book/9781604339055.html
Fishpond (New Zealand): https://www.fishpond.co.nz/Books/Keto-Life-Sahiil-Makhija/9781604339055
Blackwells (UK): https://blackwells.co.uk/bookshop/product/Keto-Life-by-Sahiil-Makhija-author/9781604339055
Book Depository (Shipping Worldwide): https://www.bookdepository.com/Keto-Life-Sahiil-Makhija/9781604339055  
Bookswagon (India): https://www.bookswagon.com/book/keto-life-sahil-makhija/9781604339055

Headbanger's Kitchen T-Shirts & Merch 
USA Merch Store: https://teespring.com/stores/headbangers-kitchen
Europe Merch Store: https://teespring.com/stores/headbangers-kitchen-eu
India Store (T-Shirts): https://www.redwolf.in/headbangers-kitchen
India Store (Mugs): http://todphod.com/product/headbangers-kitchen-mug/

If you like the show, support us on Patreon: http://patreon.com/headbangerskitchen

Don't forget to Like, Share and Subscribe! Thank you for all your support! \m/

SUBSCRIBE: https://goo.gl/zNENs3

Follow us on Social Media
Instagram: http://www.instagram.com/headbangerskitchen
Twitter: http://www.twitter.com/HKTweets666
Facebook: http://www.facebook.com/headbangerskitchen
Official Website: http://www.headbangerskitchen.com 

Camera Gear I use
Canon 80D (This is what I use now): https://amzn.to/2JBOMh3
Canon 650D (Older videos shot on this): https://amzn.to/2qlwQQ6

Lens (Canon)
EF-S 18-135mm f/3.5-5.6 : https://amzn.to/2GPsBX7
EF-S 24mm f/2.8 : https://amzn.to/2ILrDrc 

Headbanger's Kitchen is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to provide a means for sites to earn advertising fees by advertising and linking to amazon.com.

Business Inquiries: headbangerskitchen@gmail.com",
WI2prwRQNms,(ಹೋಟೆಲ್ ಸ್ಟೈಲ್ ದಾಲ್ ಫ್ರೈ) Dal fry recipe Kannada | How to make dal for rice chapati | Maduva vidhana,https://www.youtube.com/watch?v=WI2prwRQNms,182,20230303,"Dal fry recipe explained in this video with Kannada narration and English subtitles. This is a very tasty hotel style dal recipe that tastes too good with rice or chapati. If you have cooked dal then this dal fry can be prepared in very less time. Dal maduva vidhana is here.
Click this link for written recipe and ingredients: https://vegrecipesofkarnataka.com/744-dal-fry-recipe-hotel-style-daal-for-chapati-rice.php

#dalfry #dalfryrecipe #dal #chapatisidedish #dalricerecipe #hotelstyle #dalmaduvavidhana #howtomakedalfry #howtomakedal 

Click this link to watch top (or most loved) videos: https://www.youtube.com/channel/UC8ywe-yqxdvDFvjKX_TM3yg/videos?view=0&sort=p&shelf_id=1

Subscribe to my channel: https://www.youtube.com/channel/UC8ywe-yqxdvDFvjKX_TM3yg?sub_confirmation=1

Website: http://vegrecipesofkarnataka.com/
Facebook page: https://www.facebook.com/VegRecipesofKarnataka/",
