video_id,title,source_url,duration_seconds,upload_date,description,error
LTyxI_-lP1E,DOSA BATTER RECIPE | HOW TO MAKE DOSA BATTER @ HOME (with tips and tricks),https://www.youtube.com/watch?v=LTyxI_-lP1E,208,20200427,"A complete guide on dosa batter recipe. With all the necessary tips and tricks, learn to prepare a perfect dosa batter @ home. And relish plain dosa, set dosa, paddu and uttappa for a week.
Subscribe to my channel: https://bit.ly/2RI2ru4
Also check : 4 instant breakfast recipes: https://youtu.be/x1E3gFmsMKY
Ingredients
Dosa rice (raw rice) - 2 cups
White lentils - 1/2 cups
Fenugreek seeds - 1 tbsp
Rice flakes - 1/2 cup
Salt - 1 tsp
Sugar - 1/2 tsp
Rice powder - 1 tbsp",
KPFAAjONfmk,7 Pro Tips for a Perfect Dosa Batter | Must Follow Proven Tips for Crispy & Soft Dosa Recipe,https://www.youtube.com/watch?v=KPFAAjONfmk,208,20230727,"full recipe: https://hebbarskitchen.com/wet-grinder-dosa-batter-recipe/

@hebbarskitchenhindi @hebbarskitchenoriginals 

Dosa Recipe | How to make a perfect Dosa Batter at home using a Wet Grinder with detailed photo and video recipe. One of the staple food of South India is made with a combination of rice, urad dal, and methi seeds. Basically, the batter is prepared for crisp dosa, but as it ages, it is used for different types of recipes. It includes masala dosa, podi dosa, uttapam, appam, bun dosa, tomato omelet, and punugulu but not limited to these and can be utilized to make idli and many variants.

Dosa Recipe | How to make a perfect Dosa Batter at home using a Wet Grinder grinder with step-by-step photo and video recipes. South Indian breakfast recipes are one of the essential recipes for most Indians, if not for other countries. Basically, the batter is prepared with the purpose of preparing a crisp dosa, but it is repurposed to prepare myriad other recipes. In other words, this recipe post tries to cover the life cycle of a dosa batter where a single dosa batter is used to make different types of breakfast recipes.

#hebbarskitchen",
r4k4nqWmeiQ,"आज के बाद नहीं करेंगे ग़लती, डोसा बैटर बनाने में | Perfect Dosa Batter Recipe | Idli Dosa Batter |",https://www.youtube.com/watch?v=r4k4nqWmeiQ,394,20201012,"👉Buy MYKK Hair Oils Now 👉 https://mykkstore.com/
✅Saari Hair Problems hongi khatam mere banaye MYKK Hair Oils se!✅

Perfect Dosa Batter banane ka tarika dekhiye Maa, Yeh Kaise Karun? par. Bazar jaisa Dosa banane ke liye iss Dosa Batter Recipe ko zarur dekhiye. Dosa Batter kaise ferment karein, Dosa Batter banane ke saare tips aapko bahot pasand aayenge. Dal Chawal ka ratio kitna lena hai, Dosa Batter kaise ferment karna saare tips & tricks follow kijiye aur South Indian Style Idli Dosa Batter Recipe ko share karna na bhoolein. Channel ko Subscribe zarur kijiye.

#DosaBatterRecipe #HowToFermentDosaBatter #DosaBatterMakingTipsByMaaYehKaiseKarun

INGREDIENTS:
* Rice - (चावल) - 2 bowl 
* Urad Dal - (उड़द दाल ) - 1/2 bowl
* Chickpea Lentil - (चना दाल ) - 1/4 bowl
* Flattened Rice - (पोहा ) - 1/4 bowl
* Fenugreek Seeds - (मैथी दाना) - 1 tsp
* Water - (पानी) 
* Salt - (नमक)

Link to Maa,Yeh kaise karun? (Facebook )- https://www.facebook.com/Maa-yeh-kaise-karun-106525154579705

Easy Homemade recipes 
Link to Masala Kitchen (1st Channel)- https://www.youtube.com/c/MasalaKitchenVeg
Link to Masala Kitchen (Facebook) - https://www.facebook.com/masalakitchenrecipe/

Video Links :
* Healthy Soup Recipe - https://youtu.be/eXm9M-rQPKg

* Stuffed Palak Parantha Recipe - https://youtu.be/Csy7alO5Txw

* Garlic Peeling & Garlic Chutney Recipe - https://youtu.be/UWHMw-q104E

* How to fold Saree? - https://youtu.be/U0B0Cq0RykE

* Pineapple kaise cut karein? - https://youtu.be/1fNoJcpxo0I

* Dairy jaisa Soft Paneer Recipe - https://youtu.be/PN-2spNophY

* Shirt Press karne ka tarika - https://youtu.be/iyZ9AR2n3p8

* Hook aur Tich Button lagane ka tarika - https://youtu.be/Wj6MOt7MnAU

* Gas Stove Cleaning Tips - https://youtu.be/A1gD3wsEVrQ

* Amchur ki Tasty Chutney - https://youtu.be/Vw6HvvYrw78

* Instant Mayonnaise Recipe - https://youtu.be/CAjL8TFHCaM

* Tasty Hari Chutney Recipe - https://youtu.be/NfjpT0pxKB8

* Peri Peri Masala Recipe - https://youtu.be/YNQhrfFJ41A

* Spicy Chutney Recipe - https://youtu.be/igkSs2nMQqc

* Nariyal Ka Burada Recipe - https://youtu.be/VrUlIsCBRPw

* 3 Easy Ways of Peeling Arbi (Taro Root) - https://youtu.be/XC8n5Lo710M

* Dahi Jamane ka aasan tarika - https://youtu.be/WTUfel75gKk

* Anaar kaise Chheelein? - https://youtu.be/7DkW9CmGAl8

* Gol Roti kaise banayu? - https://youtu.be/hyUwLHMgzMk

* Chocolate Kulfi Recipe - https://youtu.be/ddlL_PvYUSo

* Coconut Modak Recipe - https://youtu.be/XFu5wbbtpa0

* Sweet Chili Sauce Recipe - https://youtu.be/q0UgeszmtBE

* Gas Burner Cleaning Tips - https://youtu.be/xPyF983QQv0

* Sprouts banane ka tareeka - https://youtu.be/nR2V4_4CYJU

* Instant Dhokla Recipe - https://youtu.be/IRTKzLfab-Q

* Easy Cupcakes Recipe - https://youtu.be/l8kyfF3NIlY 

* Bazar jaisa Milkmaid/Condensed Milk Recipe - https://youtu.be/c9MyFhqZxvY

* Tasty Chocolate Bounty Bar Recipe - https://youtu.be/po8KZQdWGjQ

* Fruit Barfi Recipe - https://youtu.be/u9MuCQ0Q-_k

* Easiest Fruit Pudding Recipe - https://youtu.be/40jdCppj5w8

* Theater jaise Popcorn Recipe - https://youtu.be/MIHMMEMSHkU

* Crispy Cheeselings Recipe - https://youtu.be/LIwo1SvATWE

* Quick & Easy Caramel Sauce - https://youtu.be/X5peP6A-ti8

* Cheese Powder at home - https://youtu.be/5tOjIbWRNhc

* Bedsheet bichhane ka sahi tarika - https://youtu.be/u-4bZuGDmkI

* Bartan arrange karne ka perfect tarika - https://youtu.be/vXYHvC1I-vA

* Sabji Storage tricks and tips - https://youtu.be/aDb0ELHNy9c

* Daalon ki ABCD  - https://youtu.be/8SMPbu6Ji5A

* Atta banane ka tarika bina machine & bina hath ke - https://youtu.be/jyRzf2YB2Gs

* Delicious Khichdi - https://youtu.be/bNb9SjWvXHw

* Perfect Chawal banane ke aasan tips - https://youtu.be/jLBaScAQa0E

how to prepare idli dosa batter,idli batter recipe in hindi,how to make uttapam batter,homemade idli dosa batter,idli dosa recipe,perfect crispy dosa batter recipe,dosa idli batter recipe,dosa batter,idli batter,dosa batter recipe,dosa recipe,dosa batter recipe in hindi,dosa recipe,perfect dosa batter recipe,maa yeh kaise karun,masala kitchen,poonam devnani,easy way of making dosa batter,step by step method of making dosa batter,crispy dosa recipe,dosa batter kaise banaye,dosa batter banane ka tarika,dosa batter ferment karne ka tarika
--------------------------------------------------
⚠️Disclaimer: The information provided here is for general purpose only and not given by any health care professional. However, every remedy shared on this channel has been tried by me after due research from various sources but everyone is different and might react differently to various herbs. All information is provided in good faith, however, we make no representation or warranty of any kind, express or implied. This video and description may contain affiliate links, for which there shall be no additional or hidden charges.",
x0_Oeh0heqM,Neer Dosa Made Easy! 5 Secret Tips for Perfect Thin & Soft Dosas | Master the Art of Neer Dose,https://www.youtube.com/watch?v=x0_Oeh0heqM,117,20250528,"Full Recipe: https://hebbarskitchen.com/neer-dosa-recipe-neer-dose-neerdose/

@hebbarskitchenhindi @hebbarskitchenoriginals 

Neer Dosa Recipe | How to Make Neer Dose with Detailed Photo and Video Recipe. A popular dosa variation prepared with rice batter hails from the Udupi and Mangalore cuisines. It's a simple, easy, and quick morning breakfast recipe, without the hassle of making urad dal batter. It is famously served with coconut-based gravies like Kori Gassi and Channa Gassi, but also tastes great with spicy Kara Chutney.

Neer Dosa Recipe | How to Make Neer Dose with step-by-step photo and video recipe. Perhaps one of the most appreciated delicacies of the South Canara region is prepared with just rice batter. It is a healthy breakfast option for those busy mornings without the hassle of fermentation and urad dal. Moreover, with the usage of thin batter, the batter can be poured randomly without any circular movement of the ladle.

#hebbarskitchen 

#NeerDosa #SouthIndianBreakfast #DosaTips #EasyDosaRecipe #NeerDosaRecipe #InstantDosa #HealthyBreakfast #HomeCooking #RiceCrepes #breakfastideas 

Music: hooksounds.com",
cCkgSo9AD4U,मैंने जबसे ऐसा डोसा बनाना सीखा तबसे सब तरीका लगा फीका - Baazar ke dosa ki vidhi |Crispy bhi Soft bhi,https://www.youtube.com/watch?v=cCkgSo9AD4U,672,20220519,"#masaladosa #dosa #dosai 

PRODUCTS USED 
TAWA USED: https://tinyurl.com/43p33adp
STEEL PAN USED: https://tinyurl.com/ym35hhjy
WOK USED : https://tinyurl.com/3nhdd8xy
Kadhai USed: https://tinyurl.com/2sn7fmba
Tomato Puree : https://tinyurl.com/r7pdhj2
Ginger Garlic Paste:
My Voice Recorder (mic) : http://goo.gl/eQJPRh
My Main Camera : Canon 70d : http://goo.gl/xr53Xf
Other Camera : http://goo.gl/9ri6Oy
Infrared Thermometer Gun : http://goo.gl/ZIFszn
Ph Scale : http://goo.gl/zbaLgP
Cooking Thermometer : http://goo.gl/CuIVlB
Electric Weighing Scale: http://goo.gl/SCDpUY
My Daily Use Knife : https://goo.gl/67GCTY 
My Santoku Knife(for professionals only) : https://goo.gl/2HXf6z

****************************************************************************

Website : http://www.bharatzkitchen.com
Facebook : http://www.facebook.com/bharatzkitchen
Twitter : @bharatzkitchen
Insta : @bharatzkitchen

***********************************************************************

MUSIC CREDITS:
https://www.epidemicsound.com/
https://artlist.io/",
95HFOC0xOOM,High Protein Dosa Recipe | Healthy Breakfast | Healthy Dosa | Multigrain Dosa | Breakfast Recipes,https://www.youtube.com/watch?v=95HFOC0xOOM,74,20250507,"#healthybreakfast 
#healthydosa 
#proteindosa 
#multigraindosa 
#dosa 
#dosarecipe",
J75VQSxOtdo,cripsy roasted hotel style masala dosa recipe | ಹೋಟೆಲ್ ಮಸಾಲ ದೋಸೆ | how to make crispy masale dose,https://www.youtube.com/watch?v=J75VQSxOtdo,307,20200703,"full recipe: https://hebbarskitchen.com/masala-dosa-recipe-crispy-masale-dose/

Music: http://www.hooksounds.com/

masala dosa recipe | crispy masale dose | how to make masala dosa with detail photo and video recipe. an easy and popular, tasty south indian staple breakfast recipe made with rice and urad dal. basically an extension to the traditional dosa recipe, where dosa is made crisp and stuffed with potato masala. it is perhaps one of the famous dish from south india, which is can be served for morning breakfast or also as an evening snack with coconut chutney and sambar.
masala dosa recipe | crispy masale dose | how to make masala dosa with step by step photo and video recipe. south indian recipes are known for healthy and steamed rice-based breakfast recipes. these generally fall into either dosa or idli category which in turn has many varieties with subtle variations. under dosa category, the most popular variation is masala dosa or locally known as masale dose served with choice of coconut chutney and spicy sambar.",
N6pNaRkr-gM,benne dosa recipe | ದಾವಣಗೆರೆ ಬೆಣ್ಣೆ ದೋಸೆ | davanagere benne dose | butter dosa recipe,https://www.youtube.com/watch?v=N6pNaRkr-gM,125,20180303,"full recipe: http://hebbarskitchen.com/benne-dosa-recipe-davanagere-butter-dosa/
chuteny recipe: https://youtu.be/23vrQeXJU0s

download android app: https://play.google.com/store/apps/details?id=com.hebbarskitchen.android&hl=en

download iOS app: 
https://itunes.apple.com/us/app/id1176001245

Email – hebbars.kitchen@gmail.com
Website – http://hebbarskitchen.com/
Facebook – https://www.facebook.com/HebbarsKitchen
Twitter – https://twitter.com/HebbarsKitchen
Pinterest – https://www.pinterest.com/hebbarskitchen/
plus one – https://plus.google.com/103607661742528324418/posts
linkedin - https://in.linkedin.com/in/hebbars-kitchen-b80a8010a
instagram - https://www.instagram.com/hebbars.kitchen/
tumblr - http://hebbarskitchen.tumblr.com/
twitter - https://twitter.com/HebbarsKitchen

Music: http://www.hooksounds.com/",
SP2vzjCXgV4,Kerala Style Dosa Recipe | Red & White Coconut Chutney,https://www.youtube.com/watch?v=SP2vzjCXgV4,720,20220614,"Ingredients.

Raw rice- 1kg
Urud dal -1/2kg
Fenugreek seed -1 tsp
Salt -1or 2 tsp
Method

Take a pan add raw rice, urad dal, and fenugreek seed.
Then add sufficient amount of water and soak for 2 hrs.
After soaking drain and again wash with clear water and set aside.
Then grinded the soaked ingredients by using grinder .
Add sufficient water and grind them well into smooth batter.
Then transfer the batter into a bowl and fermented for 1 or 2 hrs.
After fermentation add some salt and combine them well.
Heat a cast iron pan. When the pan becomes hot, pour and spread the batter.
Once the dosa edges look lacy and golden-brown and the top has dried out completely then
flip the other side and cook for few minutes , remove to a plate.
Serve the delicious dosa with chutney .
Coconut chutney recipe
Ingredients

Coconut – ½ cup
Shallots- 4 or5 nos
Curry leaves -3sprigs
Green chilli – 2 nos
Dry red chillies – 2 nos
Mustard seed – 1tsp
Salt – 1 tsp
Method

Firstly we have to grind green chilli, salt and grated coconut into smooth paste.setaside ,
Heat oil in a pan add mustard seed ,lets spluttered .
Add dry red chillies, chopped shallots and curry leaves saute for few minutes .
Then add grinded coconut mixture and mix them well.
Now pour some water and cook for 2 to 3 minutes.
Remove from fire and keep aside.
Dry red chilly chutney.
Ingredients

Shallots – 4 nos
Curry leaves – 2 or3 sprigs
Dry red chilli -3 or 4 nos
Salt -1 tsp.
Oil- 2 or3 tsp
Method

Firstly we have to grind dry red chilli ,salt and shallots in to smooth paste and keep aside.
Heat oil in a pan add mustard seed ,lets them spluttered .
Add dry red chilli,shallots and curry leaves saute them well.
Then add grinded dry red chilli paste and saute them well.
Pour some water and salt ,cook for some minutes.
Remove from fire and keep a side.

Want to find a full list of the ingredients and cook this dish by yourself? Download our Mobile Application : https://play.google.com/store/apps/details?id=com.lessbugs.recipe_user

SUBSCRIBE: http://bit.ly/VillageCooking

Membership : https://www.youtube.com/channel/UC8H6icXC3vMR7lWtvDTw2Xg/join

Business   :  villagecookings@gmail.com
Phone/ Whatsapp : 94 00 47 49 44

Follow us:
Facebook  : https://www.facebook.com/pg/VillageCookings.in/
Instagram : https://www.instagram.com/villagecookings/
Fb Group  :  https://www.facebook.com/groups/villagecoockings/",
iT4YJV2tx1w,dosa recipe | dosa batter in mixie recipe | crispy dosa batter recipe,https://www.youtube.com/watch?v=iT4YJV2tx1w,82,20161015,"recipe: http://hebbarskitchen.com/crispy-dosa-batter-recipe-mixie-blender/

Website – http://hebbarskitchen.com/
Facebook – https://www.facebook.com/HebbarsKitchen
Twitter – https://twitter.com/HebbarsKitchen
Pinterest – https://www.pinterest.com/hebbarskitchen/
Google plus one – https://plus.google.com/103607661742528324418/posts
Linkedin - https://in.linkedin.com/in/hebbars-kitchen-b80a8010a
Instagram - https://www.instagram.com/hebbars.kitchen/
Tumblr - http://hebbarskitchen.tumblr.com/
Twitter - https://twitter.com/HebbarsKitchen
youtube - https://www.youtube.com/channel/UCPPIsrNlEkaFQBk-4uNkOaw",
