video_id,title,source_url,duration_seconds,upload_date,description,error
O4i0dbxVbNU,South Indian Fish Curry Recipe with Tamarind | Authentic Indian Rohu Fish curry recipe |,https://www.youtube.com/watch?v=O4i0dbxVbNU,437,20230821,"Indulge in the exquisite flavours of this delectable and authentic Fish Curry recipe! Discover the perfect harmony of tender fish chunks immersed in a rich, aromatic curry sauce that will tantalise your taste buds. This Fish Curry recipe is a delightful blend of tradition and simplicity, making it an ideal choice for both novice and seasoned cooks.
This is a very easy South Indian fish curry recipe for a lazy lunch  or dinner, and also for a nice family get together.


Rohu Fish Curry 
(Spicy and tangy South Indian fish curry)


Ingredients
===========
600 grams, Rohu (Carp) fish, cleaned.
1/2 cup, sesame seed oil (Indian variety)
8 Shallots
2 Tomatoes, thinly sliced
1 tsp Ginger 
8 Garlic cloves
1/2 cup fresh Coriander, chopped 
4 stems and root of coriander, cleaned.
4 Green chillies 
40 grams, Tamarind 
4 cups warm water
1/4 tsp asafoetida podwer
Salt to taste

Prep/Marination
---------------------------
1/4 tsp Turmeric powder
2 tsp lemon/lime juice

Ground spices
------------------------
1 tbsp Kashmiri chilli powder
1/2 tbsp Hot variety, chilli powder
1/2 tsp Turmeric powder
2 tbsp Coriander powder

Tempering
------------------
1/4 tsp mustard seeds
1/4 tsp fenugreek seeds
1/4 tsp cumin seeds
2 sprigs of curry leaves


Method

Marinate fish with turmeric and lemon juice give it a rub and keep aside.

Soak the tamarind in 3 cups of warm water, squeeze & loosen the tamarind with your clean hands to make tamarind water and separate the fibrous bit from the pulp with a help of a sieve or simply squeezing it with your hand. Add 1 more cup of warm water and keep aside.

Heat oil in a clay pot on medium high heat and add the tempering ingredients and sauté for a few seconds, add the shallots, ginger and garlic paste & sauté till the onion softens. Add 2 green chillies and asafoetida powder and 1 sprig of curry leaves sauté for 4 minutes.  

Follow by adding the tomatoes give it all a mix. Add salt, turmeric powder, Kashmiri chilli powder, hot chilli powder and coriander powder. Turn the heat on low stir and cook for a minute. Add the tamarind water and  give it a stir.

Once the curry starts to boil, add the fish pieces ensuring the fish is covered in the gravy, add fresh coriander leaves and curry leaves. 
Lid on, simmer for 4 - 5 minutes.

Serve hot with steamed rice, Dosa, Idli or Appam.",
hLtD8yTbQfE,Nellore Chepala Pulusu Recipe | Authentic Andhra Fish Curry | Easy Fish Curry Recipe,https://www.youtube.com/watch?v=hLtD8yTbQfE,386,20250624,"📌 Spicy & authentic Andhra dishes 🌶️ 👉 https://www.youtube.com/playlist?list=PLFhw-Rie62rSfKT

Explore Our other Fish recipes: https://www.youtube.com/watch?v=hLtD8yTbQfE&list=PLFhw-Rie62rSJE-B54sXW9T1WouwJTCR1&pp=sAgC

Nellore Chepala Pulusu Recipe | Authentic Andhra Fish Curry | Easy Fish Curry Recipe | @HomeCookingShow 

#fishcurry #nellorechepalapulusu #andhrafishcurry #easyfishcurryrecipe #emperorfishcurry #homecookingshow 

Chapters:
Promo - 00:00
Fish Marinaton - 00:32
Ground masala - 01:13
How to make Nellore Chepala Pulusu - 01:47



📌 Full Recipe & Step-by-Step Guide: 👉  https://homecookingshow.in/recipe/nellore-chepala-pulusu-fish-curry/

To Make Fish Marinade

Emperor Fish - 2 Kg
Salt - 2 Tsp
Turmeric Powder - 1 Tsp
Chilli Powder - 2 Tsp



To Make Ground Masala

Coriander Seeds - 2 Tbsp
Mustard Seeds - 1 Tsp
Cumin Seeds - 1 Tsp
Fenugreek Seeds - 1 Tsp



To Make Nellore Fish Curry

Oil - 5 Tbsp
Mustard Seeds - 1 Tsp
Cumin Seeds - 1 Tsp
Fenugreek Seeds - 1/4 Tsp
Onion - 3 Nos
Garlic - 10 Cloves
Green Chilli - 6 Nos
Curry Leaves
Rock Salt - 1/2 Tsp
Turmeric Powder - 1 Tsp
Chilli Powder - 3 Tsp
Tomato Puree
Tamarind Water
Water
Mango Pieces
Coriander Leaves



You can buy our book and classes on https://www.21frames.in/shop

HAPPY COOKING WITH HOMECOOKING
ENJOY OUR RECIPES

WEBSITE: https://www.21frames.in/homecooking
FACEBOOK -https://www.facebook.com/homecookingshow/
YOUTUBE: https://www.youtube.com/HomeCookingShow
INSTAGRAM - https://www.instagram.com/homecookingshow/

A Ventuno Production : https://www.ventunotech.com",
2swqY-FshjU,Kerala Style Fish Curry Recipe | Ayala Curry | Meen Curry | Fish Curry,https://www.youtube.com/watch?v=2swqY-FshjU,360,20241001,"Kerala Style Fish Curry Recipe |  Ayala Curry |  Meen Curry | Fish Curry


Ingredients :

Ayala fish - 5 nos
Tomato - 2 nos
Shallots - 10-12 nos
Garlic - 7 -8 nos
Ginger - 2 nos
Green chilies - 3 nos 
Coconut oil - 1 tbsp
Turmeric powder - 1 tsp
Chilli powder - 1 1/2 tbsp
Coriander powder - 1 tbsp
Mustard seeds - 2 tsp
Fenugreek seeds - 1 tsp
Curry leaves 
Salt - 2-3 tsp
Malabar tamarind - 4-5 nos

Method :

Today we’re going to prepare kerala style fish curry / ayala curry 
For that first cut and clean fish and keep it aside 
Then peel and wash shallots and set it aside
Then wash tomatoes and set it aside 
Then peel garlic and ginger, wash it and set it aside 
Wash green chilies as well
Now heat oil in a pan and add 
Shallots, tomatoes and green chilies, saute it well and add turmeric powder , chilli powder and coriander powder and mix well 
Then remove the pan from fire and transfer it in to another plate and let it cool
Now make ginger garlic paste in a grinding stone and keep it aside
Then add this sauted mixture in to the grinding stone and make a paste out of it 
Then transfer it in to a plate and set it aside
Then heat oil in another pan and add mustard seeds, fenugreek seeds and curry leaves 
Then add the ginger garlic paste in to it saute a little bit and add the paste in to it by adding some water along with it 
Then add salt according to your taste 
Then add Malabar tamarind and boil it
Then add fish in to it and boil add curry leaves and remove pan from fire 

Kerala style fish curry is ready to serve",
moGVITyMTxg,1KG Fish Curry😋ಯಾವುದೇ ಫಿಶ್ ಆಗಿರಲಿ ಈ ರೀತಿ ಸಾರು ಮಾಡಿ ಈ ರುಚಿ ಗೆ ನೀವು ಫಿದಾ ಆಗ್ತೀರಾ ಗ್ಯಾರಂಟಿ👌Fish Curry,https://www.youtube.com/watch?v=moGVITyMTxg,362,20230601,"ಮೀನು ಸಾರು | fish sambar | fish curry kannada | fish curry recipe | fish sambar in kannada | how to make fish curry | fish masala | fish masala curry | meenu saaru | 1 kg fish sambar | fish sambar recipe in Karnataka style | Karnataka style fish sambar | perfect fish curry | chepala pulusu | meenin saaru | meenina saaru kannada | easy fish sambar for beginners | @neelucooking 

Subscribe Here 👉
https://youtube.com/@Kaneelucooking

Thank you so much for Watching...😍
KA Neelu Cooking Channel dedicated for simple & tasty that can be easily done at your home 😋.

LIKE-SHARE-SUBSCRIBE for more videos .. Thank you 🙏#kaneelucooking

Dry Fish Sambar👉https://youtu.be/yMwGZ00hh_Q
Obbattu👉https://youtu.be/NUt5r2x7734
Karnataka style fish sambar👉https://youtu.be/2VIG8urOsXY
Old Traditional Sweet👉https://youtu.be/h6pyfD1bkB4
Mysore Pak👉https://youtu.be/Vt8na49PAgA
veg palav👉https://youtu.be/yWB80jyYURI
haalu obbattu👉https://youtu.be/lmU3LLWxw98
grandma's special 👉https://youtu.be/g81TFfi2IFU
coconut obbattu👉https://youtu.be/P-pVyBwMdM0
boondi laddu👉https://youtu.be/6vLmPSu127E
payasa👉https://youtu.be/LxvkkbM41l4


#fish curry
#meenusambar
#fishsambarkannada
#fishcurrykannada
#fish sambar for mudde
#howtomakefishcurry
#meeninasaaru
#meeninarecipe
#meenusabarkannada
#chepalapulusu
#fishsaaru
#fishgravy
#fish
#meenu
#tasty
#curry
#grqvy
#thick
#instant
#howtomake
#chepa
#curryforrice
#meenukulambu
#easyfishrecipe
#fishcurryforrice
#kaneelucooking",
nV_0srDzbFg,చేపల పులుసు | The Best Ever Fish Curry | How To Make Chepala Pulusu In telugu with Fish Masala podi,https://www.youtube.com/watch?v=nV_0srDzbFg,166,20180907,"For the detailed written recipe in English & Telugu visit www. vismaifood.com
Fish pulsu|Chepala Pulusu|How To make Chepala Pulusu| Fish Curry In telugu|Fish Masala| Fish Masala Pulsu

Hello Foodies...Vismai Food Came up authentic Andhra Style Chepala Pulusu|Fish pulusu. Our chepala pulsu method is so simple to make, even beginners and bachelors can make perfectly. And I am sharing you the special authentic Andhra style Fish masala powder. CHepa is Fish in Telugu. Chepala Pulusu is Quiet popular in Nellore, but that chepal pulusu is different from this method. 

In this method, you will get thick Pulusu/Gravy. Majorly Chepalu/Fish cooked in tamarind Juice and with Homemade Fish masala powder and lots of Chili powder. Fish curry goes well with breakfast like Idli, Dosa, vada and steaming Rice. 
#fishcurry #chepalapulusu

Try our Fish recipes:

Fish Dum Biryani:
https://youtu.be/cUaWIffx0ag

Gongura Chepala Pulusu:
https://youtu.be/dwux1-dD508

Pomfret Fish Fry:
https://youtu.be/ZKQB8DOtF-E

Fish Fingers:
https://youtu.be/fneaAsBW9Jc

Nizami Style Fish Fry:
https://youtu.be/2ZwYUqf77Yw


Lemon Pepper Fish Fry:
https://youtu.be/yYquRECkOHI

For more videos subscribe our channel :
www.youtube.com/channel/UCBSwcEOp0PMwhvE6FVjgITw?sub_confirmation=1



#FishPulusu #chepalapulusu #AndhraStyleChepalaPulusu",
I7-1iQN3RWE,Kerala Style Fish Curry Recipe| Traditional Fish Curry| Meen Curry| Fish Curry Recipe By RajaCooking,https://www.youtube.com/watch?v=I7-1iQN3RWE,360,20250222,"Kerala Style Fish Curry Recipe| Traditional Fish Curry| Meen Curry| Fish Curry Recipe By RajaCooking

INGREDIENTS 👇 

Step 1 Grainded Masala Making 

Nallennai 2 Tsp ( sesame oil ) or Coconut Oil 
Small Onions 150 grms 
Ginger 2 inch 
Garlic Cloves 5 nos
Green Chilli 3 nos
Chopped Tomato 2 nos
Turmeric Powder ½ Tsp 
Kashmir Red Chilli Powder 1.½ Tsp 
Coriander Powder 2 Tsp 
Salt ½ Tsp 
Graind into Paste 

Step 2 Curry Making 

Nallennai 4 Tsp
Mustard Seeds ½ Tsp 
Fenugreek seeds ½ Tsp 
Ginger & Garlic Paste 1 Tsp 
Curry Leaves 
Puli 20 grm Water 100 ml + 300 ml (Taramind)
Salt ½ Tsp 
Cumin Powder ¼ Tsp 
Garam masala pinch 
Fish 500 Grms 

More Fantastic Recipes Here :- 

1) https://youtu.be/INZlg7AuQuQ?si=nkINGqMKK-yN6n2_

2) https://youtu.be/DdSpdT-cPe4?si=gO4Mf9v8f8cgvii2

Your Queries:) 

fish curry recipe | fish curry | how to make fish curry recipe | ayala curry recipe | meen curry | fish curry recipe by raja cooking | fish
fish gravy recipe | how to make fish karahi recipe | traditional fish curry  | kerala spl fish curry | Bengali style fish curry with mustard | meen kulambu | how to make fish curry very tasty | meen kulambu | Kerala style tilapia grilled fish & creamy coconut milk curry | ASMR: eating fish curry | Kanyakumari fish gravy cooking | fish eating challenge | 
Coconut fish curry | fish curry cooku with comali | the best ever fish curry | how to make chepala pulusu in Telugu | Meen kulambu in tamil | spicy fish curry with eating rice competition | special masala fish curry |

#meencurry 
#cookingathome 
#rajacookingrecipes
#homemadecooking 
#homemadefood 
#spicefood 
#homemaderecipe 
#rajacooking 
#rajacookingrecipes 
#recipe 
#food 
#cooking 
#foodonfarm 
#foodlover
#breakfast 
#besteverfoodreviewshow 
#asmr
#fish 
#ammachethivanta 
#ammasamayal 
#foodie 
#indiancuisine 
#maduraispecial 
#newrecipe 
#onionrice 
#thetraditionallife 
#pepperchickengravy 
#quickricerecipes 
#spicefood 
#villagecookingchannel 
#vegcurry 
#weddingspecial
#seafoodlovers  
#nishamadhulika 
#saminafoodstory 
#keralafood 
#keralarecipes 
#keralastyle
#yennithuniga 
#youtubevideo 
#rajacookingrecipes",
eCIT0GyP3D0,Authentic Kerala Recipes- Kerala fish curry in Hindi | Authentic fish curry | South Indian Recipe,https://www.youtube.com/watch?v=eCIT0GyP3D0,404,20200518,"Hi Friends, Today I will show you the recipe of Kerala fish curry in Hindi. Other than fish, the main ingredient of this fish curry recipe is Garcinia Cambogia(Kudam Puli). You can buy this from online using the below link.

Kudampuli(Brindleberry | Garcinia Cambogia | Goraka)  200g 👇
https://bit.ly/3jCzRGe

Kudampuli(Brindleberry | Garcinia Cambogia | Goraka)  100g 👇
https://bit.ly/3lHtwdD

Garam Masala Combo 1 200g👇
https://bit.ly/3jZRsJH

Garam Masala Combo 1 400g👇
https://bit.ly/3k4vpS5

Pure Kerala Cinnamon👇
https://bit.ly/3C6rcDA

Pure Coconut Oil 500ml 👇
https://bit.ly/3mUO18S

Ingredients for Kerala fish curry(Red)
***************************************
Fish 500 g
Kudam Puli  2 Nos
Coconut Oil 3 tablespoon
Curry Leaves 2 Nos
Salt to taste
Mustard Seeds 1 tablespoon
Fenugreek Seeds Half tablespoon
Turmeric Powder Half tablespoon
Red Chilli Powder 1.5 tablespoon
Kashmiri Chilli Powder 3 tablespoon
Garlic (Crushed) 25 g
Ginger (Crushed) 25 g
Onion (Chopped) 50 g

Ingredients online links
Kerala Spices Buy Online 👇
https://bit.ly/3jy7toH


KITCHEN ACCESSORIES AND UTENSILS USED FOR THIS COOKING VIDEO
               ***************
Amazon Brand - Solimo Classic Knife Set https://amzn.to/2Y3lReI
Craftsman Pottery Clay Pot 4 Ltr (It is similar to my pot): https://amzn.to/2XZV035
Craftsman Pottery Clay Pot 1 to 3 ltr Combo (It is similar to my pot): https://amzn.to/3iF9HRh

*****************************************************

PLEASE NOTE: I use coconut oil for most of the South Indian dishes, especially authentic Kerala recipes. However, you can use any cooking oil according to your personal choice. If there is any must use scenario, I will tell you that in the video.

***********************************
My Gears used for this recipe video
***********************************

DSLR : https://amzn.to/2DL8fy1
SDCard: https://amzn.to/31SAEKy
External HDD: https://amzn.to/31WxQf8
Mic : https://amzn.to/3iI17kz
Tripod https://amzn.to/3h0dkki

---- Thanks for Watching ----

****************
Our social links
****************

Youtube -            https://youtube.com/authentickerala
Facebook-          https://facebook.com/authentickerala.in
Instagram-        https://instagram.com/authentickerala.in
Twitter -        https://twitter.com/authentickeral

**********
DISCLAIMER
**********

*All the content published on this channel is protected under the copyright law and should not be used/reproduced in full or part without the creator's prior Permission*

*Some of the links above are affiliate links, where I earn a small commission if you click on the link and purchase an item. You are not obligated to do so, but it does help fund these videos in hopes of bringing value to you!*

For sponsorship, product reviews, and collaboration, you can email me here: authentickerala.in@gmail.com

#authentickerala #southindianrecipes #liya",
VIkbg0rxPAM,Bangda Fish Curry|Bangalore Style Mackerel Fish Curry @flavoursofbushrakitchen,https://www.youtube.com/watch?v=VIkbg0rxPAM,231,20221123,"Bangda Fish Curry|Bangalore Style Mackerel Fish Curry 
@flavoursofbushrakitchen 

ingredients
bangda fish
onion
garlic
cumin seeds
coconut
tomato
coriander leaves
oil
mustard seeds
curry leaves
red chilli powder
turmeric powder
coriander powder
salt as per taste


please 🙏 subscribe to my channel leave your valuable comments in comment box
thanks for watching

#bangdafishcurry 
#fishcurry 
#mackerelfishcurry 
#flavoursofbushrakitchen

@JustVoot 
Big Boss 16 | बिग बॉस 16 | I love You💕 क्या यही कहा Sumbul ने Fahmaan से ?🤨



Music: King
Musician: Jeff Kaale",
d5V429MxXTY,The Coimbatore Kick: Cooking the Famous Spicy Tamarind Fish Curry Step-by-Step |Chef Deena's Kitchen,https://www.youtube.com/watch?v=d5V429MxXTY,1073,20251122,"Meen Kuzhambu-Rajan Anna 
Step into the world of Magisha Catering, where Mr. Rajan, a culinary maestro with three decades of experience, unveils the legendary fish curry that has captivated hearts for 20 years. This isn't just a recipe; it's a journey! Witness the magic as crushed onions and garlic transform into a rich, halwa-like gravy, infused with the aromatic secret of cumin-kissed coconut milk.
Rajan's passion is infectious, his tips golden – from the perfect square-cut Thengai Parai fish that never breaks, to the art of taming tamarind with hot oil. He promises a taste even better than your mom's (don't tell her we said that!). Get ready to be charmed by his vibrant personality and leave with a recipe that will become your family's next heirloom. Don't just cook, create a legacy!

Magisha Catering - coimbatore
Mr. Rajan : 9750528250
@Magishacaterings  

*Meen Kuzhambu ingredients*
Blue trevally fish - 2kg
Tomato-150g
Crushed shallots - 500g
Crushed garlic - 100g 
fenugreek- 1/4 Tsp
Green chilli - 8 Nos
Mustard seeds -1/2 Tsp
Chilli powder - 50g
Coriander powder - 50g
Turmeric powder-1 Tsp
Coconut milk - 1 Nos
Tamarind-100g
Coriander leaves-As required
Curry leaves-As required 
Salt - To taste
Gingelly oil - For cooking

My Amazon Store { My Picks and Recommended Product }
https://www.amazon.in/shop/chefdeenaskitchen

_______________
Hello!!  My Name is chef Deena from the popular Adupangarai show in Jaya TV Viewers must have seen me in Zee Tamil shows as well.  My Culinary journey as a trainee to become an Executive Chef is incredible. My experience in the culinary field is for more than fifteen years and my USP is Indian cooking !! Apart from being a TV cookery host, my experience lies mainly with being employed in some of the major star hotels across the country especially the Marriott group.

     Chef Deena Cooks is my English Youtube Channel! Practical, simple recipes are my forte and using minimal easily available ingredients is my hallmark. Rudiments of cooking and baking are taught from scratch and any amateur cook can learn to make exciting dishes by watching my channel!  Also, Cooking traditional foods, Easy cooking Recipes, Healthy Snacks, Indian curries, gravies, Baking and Millions of other homemade treats. 

Subscribe to Chef Deena Cooks (CDK) for more cooking videos.

#chef #cooking #food #recipe #fishcurry 
______________________________________________________________________
Follow him on 
Facebook: https://www.facebook.com/chefdeenadhayalan.in/
Instagram: https://www.instagram.com/chefdeenadhayalan/

English Channel Chef Deena Cooks: https://bit.ly/2OmyG1E

Membership : https://www.youtube.com/channel/UCAAXHT6P8enChyEwOXDevMA/join

Whatsapp Channel : https://whatsapp.com/channel/0029VaDMDVV6mYPDhd4B2x3w
Business : pr@chefdeenaskitchen.com
Website : www.chefdeenaskitchen.com
Career : https://forms.gle/reP5n3RcHpXLXo1MA",
ifMgcz8R6Wc,எந்த மீன் வாங்கினாலும் குழம்பு சுவையா செய்விங்க👌| MEEN KULAMBU | Fish Curry in Tamil | Fish Gravy,https://www.youtube.com/watch?v=ifMgcz8R6Wc,439,20221029,"எந்த மீன் வாங்கினாலும் குழம்பு சுவையா செய்விங்க👌| MEEN KULAMBU | Fish Curry in Tamil | Fish Gravy





Innaiku namma Indian recipes tamil la meen kuzhambu recipe epadi seivadhu pakkaporom.This video shows you how to make easy traditional meen kuzhambu recipe which is a very easy And tasty Option for non veg lovers.

Recent Uploads: https://youtube.com/playlist?list=PL7...

Today in Indian recipes tamil we have brought easy and tasty meen kuzhambu recipe. Learn how to make meen kuzhambu. Fish curry / fish kuzhambu / meen kuzhambu is a tasty food in India. There are many types of meen kuzhambu recipe in tamil nadu that include a mixture of tamarind,tomato and coconut. If you make this fish curry properly as it is in this video it will taste superb and you will do it often in your house.
Today we are going to see how to make the traditional meen kuzhambu recipe in tamil. Give it a try and let us know what you think.Do share the perfect lunch Recipe and don't forget to subscribe to indianrecipestamil. Indian recipes tamil | Recipe by Abi

#MeenKuzhambuRecipeInTamil #மீன்குழம்பு #MeenKuzhambuRecipe #FishCurryInTamil #FishCurry
#IndianRecipesTamilMeenKuzhambu
#ChettinadMeenKuzhambu

* Ingredients

For Masala Paste:
Oil 2 tb
Onion- 1 cup
Few curry leaves 
Garlic- Handful
Cumin seeds - 1 ts
Pepper- 1/2 tsp
Salt to taste

For Kulambu:
Tamarind- 2(amla size)
Oil- 1/4 Cup
Mustard Seeds-1 tsp
Fenugreek Seeds- 1/4 tsp
Chopped Onion- 3/4 Cup
Green Chilli-2
Curry Leaves- few
Salt to Taste
Chopped Tomato- 2
Fish- 1 kg
Chilli powder 2 tb
Garam masala 1/2 tb
Coriander powder 3 tb
Turmeric powder 1/4 ts


RELATED LINKS:

Sankara fish curry:
https://youtu.be/H9tClteoJoE

Full fish fry:
https://youtu.be/mvOL4EE8myo

Nandu Masala:
https://youtu.be/s9Ga0vSVj0E

Nandu Kulambu:
https://youtu.be/2-wu39WYL2k

Lunch Box Sidedish Recipe (playlist)- https://youtube.com/playlist?list=PL7...


Non Vegetarian Recipes (playlist)- https://youtube.com/playlist?list=PL7...


Meen Kulambu Recipe (Nei Meen)- https://youtu.be/Jy0Bv712l_4

Fish Fry Recipe- https://youtu.be/rQMsN_Te26I

Fish Briyani Recipe- https://youtu.be/mCEyMWqLt2U

Fish Curry Recipe- https://youtu.be/H4S1WvBcECg

Please follow my Instagram
Indian recipes tamil Instagram- https://www.instagram.com/indianrecip...",
