video_id,title,source_url,duration_seconds,upload_date,description,error
U1LVDFwi8qI,Restaurant style Paneer Butter Masala | hotel style butter paneer makhanwala with tips & tricks,https://www.youtube.com/watch?v=U1LVDFwi8qI,260,20210403,"full recipe: https://hebbarskitchen.com/paneer-butter-masala-recipe/

paneer butter masala recipe | butter paneer recipe | cheese butter masala with detailed photo and video recipe. perhaps one of the premium north indian or punjabi curries if not the king of the paneer curries. it is known for its mildly sweet and spicy taste with the goodness of fresh cream and butter topping with moist paneer. it is one of the most curries for most vegetarians and is prepared for lunch and dinner and served with freshly baked roti, chapati, naan and even a choice of rice.
paneer butter masala recipe | butter paneer recipe | cheese butter masala with step by step photo and video recipe. paneer based meals and curries are one of the essential dishes to many vegetarians for their protein offerings. it can be added to rice, bread, pizza, sandwich and even deep-fried snacks, but curries are the popular choice. out of these paneer curries, the paneer butter masala recipe or also known as paneer makhani is a popular choice for its sweet and spicy curry taste.

#HebbarsKitchen",
a5sr50WL1DY,Palak Paneer Recipe | How To Make Easy Palak Paneer | Cottage Cheese In Spinach Gravy | Varun,https://www.youtube.com/watch?v=a5sr50WL1DY,297,20170901,"Learn How To Make an Easy Palak Paneer Recipe from The Bombay Chef Varun Inamdar only on Rajshri Food. 

Make this Cottage Cheese in Spinach Gravy at home and share with us your experiences in the comments section below.

Ingredients:
2 bunches of Spinach (washed and blanched)
300 gms - Paneer
¼ cup - Tomato (chopped)
1 tsp - Turmeric
3 Red Chillies Dried Whole
1 tsp Garam Masala
3 tbsp. Garlic (chopped)
1 tsp. Cumin seeds
5 tbsp. Ghee
½ cup red onions (chopped)
Salt as required


Method:-
- Drain and grind Spinach leaves to a fine puree.
- Heat ghee in a pan and add cumin seeds, dried red chillies, garlic and saute until golden brown.
- Add the onions, salt and saute until light golden brown in colour.
- Then add turmeric powder, tomatoes, and garam masala and stir fry on high flame for 2-3 minutes.
- Now add the Spinach puree and water.
- Boil on high flame for 3-4 minutes.
- Add paneer to the gravy and stir well.

Palak Paneer is ready to eat! 
HAPPY COOKING!!!

Host: Varun Inamdar
Copyrights: Rajshri Entertainment Private Limited

Subscribe & Stay Tuned - http://www.youtube.com/user/rajshrifood?sub_confirmation=1

For more videos log onto http://www.youtube.com/rajshrifood  

Find us on Facebook at https://www.facebook.com/rajshrifood

Visit our Website for more Awesome Recipes
http://rajshrifood.com/ . .
For brand collaborations and inquiries, reach out to us at: collab@rajshri.com",
JI4DtsiYm34,Palak Paneer Recipe | Restaurent Style Palak Paneer Recipe | Spinach Recipes | Paneer Recipes,https://www.youtube.com/watch?v=JI4DtsiYm34,234,20190605,"📌 Easy & Delicious Paneer Recipes :
https://www.youtube.com/playlist?list=PLFhw-Rie62rQQHII48flLB3UWiNNlowPJ
Explore Our other Paneer recipes: https://www.youtube.com/watch?v=TCZmEsLkQMk&list=PLFhw-Rie62rQQHII48flLB3UWiNNlowPJ&pp=sAgC

Easy & Delicious Paneer Recipes : https://www.youtube.com/playlist?list=PLFhw-Rie62rQQHII48flLB3UWiNNlowPJ


Palak Paneer Recipe | Restaurent Style Palak Paneer Recipe | Spinach Recipes | Paneer Recipes 
@HomeCookingShow 

#PalakPaneer #Paneerrecipes #paneer #palakleaves #homecooking #food #vegcurry #palaksoup 

Ingredients

Palak Leaves - 1 Bunch

To Make Masala
Butter - 1 Tbsp
Cumin Seeds - 1 Tsp
Onion - 1 No. Finely Chopped
Green Chili - 2 Nos Finely Chopped
Garlic - 4 Cloves
Ginger
Tomato - 2 nos chopped

To Make Palak Paneer
Butter - 1 Tbsp
Turmeric Powder - 1/4 Tsp
Kashmiri Chili Powder - 1 Tsp
Coriander Powder - 1 Tsp
Cumin Powder - 1 Tsp
Garam Masala - 1 Tsp
Water - 1 Cup
Salt - 1 Tsp
Paneer - 200 Gms

Method:
Boil a pot of water 
Add the palak leaves to the boiling water
Let it boil for 2 to 3 mins and strain the palak leaves and keep it aside 
Heat a pan with some butter, add cumin seeds and roast them
Add onions,  green chilies,ginger, garlic and saute them 
Add tomatoes and cook well 
Cool the mixture and add it to a mixer jar 
Add the palak leaves along with the onion, tomato mixture and grind everything together 
Heat the same pan with some butter, add all the spice powders and saute 
Add the ground mixture, add some water, salt and let it come to a boil
After about 5 mins, add the paneer pieces and close and cook it for another 5 mins 
Garnish it with fresh cream and serve hot. 

You can buy our book and classes on http://www.21frames.in/shop

HAPPY COOKING WITH HOMECOOKING
ENJOY OUR RECIPES

WEBSITE: http://www.21frames.in/homecooking
FACEBOOK - https://www.facebook.com/HomeCookingShow
YOUTUBE: https://www.youtube.com/user/VentunoHomeCooking 
INSTAGRAM - https://www.instagram.com/homecookingshow

A Ventuno Production : http://www.ventunotech.com",
EBBIg3BAG38,Easy Paneer Bhurji Recipe/ Paneer Bhurji/ Paneer Recipes,https://www.youtube.com/watch?v=EBBIg3BAG38,127,20220609,"#paneerbhurji #sidedishforchapati  

Paneer Bhurji

Ingredients
Oil – 1 tbl spoon
Ghee – ½ tbl spoon
Cumin seeds – ½ teaspoon
Onion – 1
Green chilli – 1
Few mint leaves
Ginger garlic paste – 1 teaspoon
Chilli powder – ½ teaspoon
Coriander powder – 1 teaspoon
Garam masala – ½ teaspoon
Pav bhaji masala – 1 teaspoon
Turmeric powder
Salt
Tomato – 1
Grated paneer – 200 grams
Coriander leaves
Kasuri methi",
18u_Y0kj0fo,MY HOMESTYLE SIMPLE PANEER MASALA (Very EASY & QUICK),https://www.youtube.com/watch?v=18u_Y0kj0fo,205,20230707,"How To Make Paneer Masala At Home - Paneer Masala Recipe - Paneer Recipe Indian Style
🔔Please click on the link below and subscribe to Curries With Bumbi so that I can bring more new recipes for you-- https://www.youtube.com/channel/UCc5O8GaMvAGjmvENEvvqZrg
Ingredients Required For Making Paneer Masala - serves 6
* 360 gm/ 13 oz paneer. You can even use tofu 
* 230 gm / 8 oz onions chopped finely
* 15 gm/ 1 inch length ginger 
* 20 gm / 5 garlic cloves
* 180 gm/ 6 oz/ 1 large or 3 medium sized tomatoes
* 1 dry bay leaf
* 3 green cardamoms
* 1 inch long cinnamon stick
* 2 teaspoons Kashmiri red chilli powder. Please add lesser than the stated proportion to start with. You can always add later at the end if you wish to.
* 1 teaspoon turmeric powder (haldi)
* 2 teaspoons ground coriander (dhania powder)
* 1/2 teaspoon ground cumin (jeera powder)
* 1/2 teaspoon kauri methi(dried fenugreek leaves). This is optional but brings in a nice flavor to the curry
* 1/2 teaspoon garam masala powder
* 1 teaspoon sugar
* 1 teaspoon salt or to taste
* 2 heaped tablespoon Mexican crema/heavy cream/sour cream/coconut milk or cream.
* 1 cup hot water
* 2 to 3 tablespoons oil
* coriander leaves for garnish
Serve this with hot steamed rice/roti/naan/paratha
KEEP IN TOUCH FOOD LOVERS -
My email - bumbicurry@gmail.com.  Share the photos of your culinary success by emailing me. 
Facebook - https://www.facebook.com/currieswithbumbi
🎬 Related videos -
🎬 Vegetarian & Vegan Recipes -
https://www.youtube.com/playlist?list=PLxgPEcdhkY4HGC40CzrMe3Itzjr2-AwUt
🎬 Tofu Recipes -
https://www.youtube.com/playlist?list=PLxgPEcdhkY4H0gkdCB1FW_tCVUMQ7ODGT
🎬 Dal (Lentil) recipes - 
https://www.youtube.com/playlist?list=PLxgPEcdhkY4EAQUzhvXNs2eO6JGAqZV5C
🎬 Pulao Biryani Recipes - 
https://www.youtube.com/playlist?list=PLxgPEcdhkY4HtAhDls39--WlMPAji0l8C

#paneermasala #currieswithbumbi 
DISCLAIMER- The information provided on this channel is for general purposes only and should not be considered as professional experience. All opinions/views/suggestions expressed here are based on my personal experience of cooking which I gained for years at my own home kitchen. While making videos, I have taken into consideration all possible and required safety precautions, but still any action you take based upon the information on this channel is strictly at your own discretion and risk, and we are not liable for any harm or damage in connection after watching or trying out the content presented in our videos.
Have a happy and safe cooking experience.",
Ubkzq8gQksM,Make Paneer Sabji Masala in Cooker - Dhaba Style Taste | Quick & Instant Pot Paneer Masala Sabji,https://www.youtube.com/watch?v=Ubkzq8gQksM,309,20221201,"Full Recipe: https://hebbarskitchen.com/cooker-paneer-recipe-quick-instant-pot/

@hebbarskitchenhindi @hebbarskitchenoriginals 

Cooker paneer recipe | Quick & Instant Pot Paneer Masala Sabji with detailed photo and video recipe. An extremely simple and easy paneer curry recipe prepared with basic gravy ingredients in a pressure cooker. It is basically the same dhaba-style paneer masala curry prepared in a new way by adding all the ingredients to the cooker. It is a gravy-based paneer curry and hence can be an ideal side dish to any type of roti, or naan bread but can also be served with flavored rice or pulao recipes.

Cooker paneer recipe | Quick & Instant Pot Paneer Masala Sabji with step-by-step photo and video recipe. Paneer curry or sabji recipes have always been a premium curry from North Indian or Punjabi Cuisine. These are generally prepared in a wok or a pan with gravy generally prepared by sauteing tomato and onion paste. However, it can be a time-consuming method, particularly if you need something in a jiffy. One such easy and simple paneer sabji recipe is cooker paneer curry known for it flavor and taste.

#hebbarskitchen",
1f4BTO-YHQo,मेने ऐसा पनीर बनाया की घरवाले तारीफ करते नहीं थके ☺️ | Paneer ki Sabzi | Paneer Gravy Recipe,https://www.youtube.com/watch?v=1f4BTO-YHQo,457,20250312,"#paneer #gravy #masala #Holi 

INGREDIENTS TO MAKE THE RECIPE :

PANEER MASALA 

1/2 Cup Oil 
3 Onion 
10 Garlic Cloves 
2 Inch Ginger 
4 gms Coriander Stems 
3 Tomatoes 
3 Tbsp Curd 
200 Gms Paneer 
3 Green Chillies 
1 Cup Water 
Few drops Kewra Water 
Freshly Chopped Coriander Leaves 

WHOLE SPICES

1 tsp Jeera 
3 Choti Elachi 
1 Badi Elachi 
1 Tej Patta 
1 Dal Chini 

GROUND SPICES 

2 tsp Kashmiri Red Chilli Powder 
1 tsp Haldi Powder 
2 tsp Salt 
1 tsp Red Chilli Powder 
1 tsp Coriander Powder 
1/2 tsp Roasted Jeera Powder 
1 tsp Kasuri Methi 
1 tsp Garam Masala",
a_-iquQHX3c,Palak Paneer Recipe | इतना Tasty पालक पनीर ..एक बार खाया तो भूल नहीं पाएंगे! Restaurant Style Paneer,https://www.youtube.com/watch?v=a_-iquQHX3c,240,20240812,"Experience the ultimate comfort of 'Palak Paneer' on Day 12 of #DeshkaSwaad! This beloved dish combines tender paneer with a rich, creamy spinach sauce, offering a perfect blend of flavor and nutrition in every delicious bite. 

Learn how to make Palak Paneer – a creamy, flavorful and healthy North Indian classic loved all over India.
Is video me hum banayenge restaurant style palak paneer ghar par hi, jo perfect hai roti, naan, ya steamed rice ke saath.


PALAK PANEER Recipe:

Ingredients

2 medium bunch of spinach (palak)
400 grams cottage cheese (paneer)
2 green chillies
1 tbsp ghee
1 tsp cumin seeds
1 tbsp finely chopped garlic
1 medium onion, finely chopped
Salt to taste
½ tsp garam masala powder
¼ tsp dried fenugreek leaves (kasuri methi) powder
2 tbsps fresh cream + for garnish
Ginger strips for garnish
Whole wheat paranthe to serve

Method

1. Trim the stems of the spinach leaves and wash them thoroughly.
2. Bring sufficient water to a boil in a deep pan. Add the spinach leaves, mix and cook for 1-2 minutes. Drain into ice cold water.
3. Squeeze the excess water from the blanched spinach leaves and transfer into a grinder jar. Break the green chillies and add into it. Grind to a fine paste.
4. Cut the cottage cheese into 1-inch cubes.
5. Heat ghee in a pan. Add cumin seeds and let them change colour. Add garlic, mix and cook for 1 minute.
6. Add onion and sauté till translucent. Add the ground paste, mix and cook for 1-2 minutes. Add salt and mix well.
7. Add cottage cheese, garam masala powder, dried fenugreek leaves powder, fresh cream, and gently mix till well combined. 
8. Transfer on a serving bowl, garnish with fresh cream, ginger strips, and serve hot with paranthe.

Timestamps: 
00:00 – Intro & Dish name
00:20 – Ingredients shown
01:00 – Spinach blanching & grinding
01:45 – Masala preparation (onion, tomato, spices)
02:30 – Adding spinach puree
03:15 – Paneer cubes & final mixing
03:50 – Garnishing & Ready to serve

🎯 Perfect For:
Lunch & Dinner
Family get-togethers
Festive meals

Make this Palak Paneer once and it’ll become your family favorite!
#PalakPaneer #DeshkaSwaad #SanjeevKapoorKhazana""

Click to Subscribe: http://bit.ly/1h0pGXf
For more recipes : http://www.sanjeevkapoor.com
Get Certified on Sanjeev Kapoor Academy : https://www.sanjeevkapooracademy.com/
To get recipes on your Google or Alexa devices, click here : https://www.klovechef.ai/signup
Best cooked in Wonderchef Kitchenware. 
Buy Now on : https://goo.gl/eB9kQq
Facebook : http://www.facebook.com/ChefSanjeevKapoor
Twitter : https://twitter.com/sanjeevkapoor
Instagram : https://www.instagram.com/sanjeevkapoor

#SanjeevKapoor #SanjeevKapoorKhazana #DeshkaSwaad #palakpaneer #indianfood #vegetarian #paneer #spinachcurry #comfortfood 

sanjeev kapoor sanjeev kapoor recipe sanjeev kapoor recipes khana khazana chef sanjeev kapoor khana khazana recipes masterchef sanjeev kapoor indian recipes master chef indian food recipes palak paneer palak paneer recipe palak paneer ki recipe how to make palak paneer how to make palak paneer at home palak paneer kaise banta hai palak paneer ki sabji palak paneer banane ka tarika palak paneer indian recipe popular indian recipe पालक पनीर
palak paneer, palak paneer recipe, palak paneer restaurant style, palak paneer banane ka tarika, sanjeev kapoor recipes, desh ka swaad recipes, spinach paneer curry, how to make palak paneer, indian vegetarian curry, punjabi palak paneer, healthy indian curry, north indian recipes, spinach and paneer, creamy palak paneer, palak paneer ghar par, paneer recipe indian, easy paneer curry, palak paneer gravy recipe",
tgw4uYyqqi8,Shahi Paneer Restaurant Style Recipe | होटल जैसा शाही पनीर | Chef Sanjyot Keer,https://www.youtube.com/watch?v=tgw4uYyqqi8,530,20211219,"Full Written recipe for Shahi paneer

Prep time: 20-25 minutes
Cooking time: 35-40 minutes
Serves: 4-5 people 

Ingredients
For gravy base puree:
• Oil 1 tsp
• Makkhan (butter) 1 tbsp
• Whole spices:
1. Jeera (cumin seeds) 1 tsp
2. Tej patta (bay leaf) 1 no.
3. Sabut kaali mirch (black peppercorns) 2-3 nos.
4. Dalchini (cinnamon) 1 inch
5. Choti elaichi (green cardamom) 3-4 pods
6. Badi elaichi (black cardamom) 1 no.
7. Laung (cloves) 2 nos.
• Pyaaz (onions) 2 medium sized (sliced)
• Tamatar (tomatoes) 4 medium sized (diced)
• Sabut kashmiri lal mirch (whole kashmiri red chilli) 2 -3 nos.
• Lehsun (garlic) 4-5 nos.
• Adrak (ginger) 1 inch
• Hari mirchi (green chillies) 1-2 nos.
• Hare dhaniye ke danthal (coriander stems) a few
• Kaju (cashew nuts) 18-20 nos.
• Salt to taste
For shahi paneer:
• Dahi (curd) ½ cup
• Powdered spices:
1. Haldi (turmeric) powder ½ tsp
2. Dhaniya (coriander) powder 2 tsp
3. Kashmiri lal mirch (red chilli) powder 2 tsp
4. Jeera (cumin) powder 1 tsp
• Oil 1 tsp
• Makkhan (butter) 1 tbsp
• Hari mirchi (green chillies) 1-2 nos. (chopped)
• Adrak (ginger) 1 inch (julienned)
• Kashmiri lal mirch (red chilli) powder 1 tsp
• Hot water as required
• Shahad (honey) 1 tbsp
• Paneer 500-600 grams
• Garam masala 1 tsp
• Kasuri methi 1 tsp
• Fresh coriander as required (chopped)
• Fresh cream 4-5 tbsp
Method:
• For making the puree gravy base, set a wok on medium heat, add oil, butter & the whole spices, stir once and add the onions, stir well and cook for 2-3 minutes.
• Further add tomatoes, kashmiri red chillies, garlic, ginger, green chillies, coriander stems, cashew nuts & salt, stir well & cook on medium high heat for 10-15 minutes.
• You need to cook until the tomatoes are completely mashed.
• Once they’ve become mushy, add some hot water& stir well, further cover & cook for 5-10 minutes on medium flame.
• Now, switch off the flame & cool down the mixture to room temperature, further discard the bay leaf, black cardamom & cinnamon, once discarded, transfer it in a mixer grinder and grind well to make fine puree, add little water while making the puree.
• Further use a sieve and strain the puree to get the smooth texture. Keep this strained puree aside to be make the shahi paneer.
• For a making the shahi paneer, start by first adding curd, and the powdered spices in a bowl, whisk well to until the curd is smooth. Keep it aside to be used later.
• Further, set a wok or a big size pan on medium heat, add oil & butter, green chillies, ginger & kashmiri red chilli powder, lower the flame and add the prepared curd mixture, stir continuously & cook on medium high flame. Cook well until the dahi is cooked and the oil has separated.
• Now, add the prepared puree gravy base & stir well. Add hot water to adjust the consistency of the gravy as per your preference.
• Further add, honey & stir well while cooking on low flame for 4-5 minutes.
• Further add paneer, you can cut paneer in any shape, I’ve chosen to cut in triangles. Further add garam masala, kasuri methi, a tbsp of fresh coriander & fresh cream, stir well & cook on low flame for 1-2 minutes.
• Taste and check for salt at this stage & further you can adjust the seasoning as per your taste. Finish with some more freshly chopped coriander leaves.
• Your shahi paneer is ready, serve hot with tandoori roti, laccha paratha or any indian bread of your choice.  

#YFL #SanjyotKeer #Paneer

The Music I use in All my videos - https://bit.ly/3CdPbSc
(Best for independent creators)

Follow us on all platforms: 
Facebook - https://bit.ly/3o6alLt
Instagram - https://bit.ly/2RFkL8z

Follow my personal handles here: (Chef Sanjyot Keer) 
Facebook - https://bit.ly/3tpjqQA​​​​​​​​​
Instagram - https://bit.ly/3o0FZK8
Twitter  -  https://bit.ly/33qQpJN",
uQNQSqqB6E0,Roasted Masala Paneer | Paneer Recipes | Masala Paneer | Starter Recipes | Healthy Recipes | Tikka,https://www.youtube.com/watch?v=uQNQSqqB6E0,290,20210628,"📌 Easy & Delicious Paneer Recipes :
https://www.youtube.com/playlist?list=PLFhw-Rie62rQQHII48flLB3UWiNNlowPJ
Explore Our other Paneer recipes: https://www.youtube.com/watch?v=TCZmEsLkQMk&list=PLFhw-Rie62rQQHII48flLB3UWiNNlowPJ&pp=sAgC

Roasted Masala Paneer | Paneer Recipes | Masala Paneer | Starter Recipes | Healthy Recipes | Tikka

#RoastedMasalaPaneer #PaneerRecipes #MasalaPaneer #EasyPaneerRecipes #paneer #starter #paneerstarter #paneertikka #healthyrecipes #Homecooking

Home-made Paneer Recipe video link - https://www.youtube.com/watch?v=eIhBY1qoJU4

Paneer Recipe video playlist - https://www.youtube.com/playlist?list=PLFhw-Rie62rQQHII48flLB3UWiNNlowPJ

Ingredients 

Paneer - 400 Gms
Salt - 1 Tsp
Chilli Powder - 2 Tsp
Cumin Powder - 1 Tsp
Turmeric Powder - 1/2 Tsp
Garam Masala - 1 Tsp
Ghee - 2 Tsp

To Make Coriander Mint Chutney
Coriander Leaves
Mint Leaves
Onion
Ginger
Garlic
Green Chilli - 3 Nos
Juice Of 1 Lemon
Salt - 1/4 Tsp
Water

Method:

1. Cut the paneer into large cubes and put them in a bowl.
2. To this add salt, chili powder, cumin powder, turmeric powder, garam masala and mix well. Let the coated cubes sit aside for 15 mins.
3. For the coriander mint chutney, add coriander leaves, mint leaves, onion, ginger, garlic, green chilies, lemon juice, salt and a little water to a mixer jar and grind them into a fine paste.
4. To a wide pan, add ghee and place the marinated paneer pieces in it.
5. Roast the paneer pieces on all sides on medium flame.
6. It roughly takes about 1-2 mins to fully roast on each side.
7. Take out the roasted paneer, garnish with chopped coriander leaves and sprinkle some chaat masala powder.
9. Serve it hot with some coriander mint chutney or tomato ketchup by the side.

You can buy our book and classes on https://www.21frames.in/shop

HAPPY COOKING WITH HOMECOOKING
ENJOY OUR RECIPES

WEBSITE: https://www.21frames.in/homecooking
FACEBOOK -https://www.facebook.com/homecookingshow/
YOUTUBE: https://www.youtube.com/HomeCookingShow
INSTAGRAM - https://www.instagram.com/homecookingshow/

A Ventuno Production : https://www.ventunotech.com/",
